"accession","length","host","protein","serotype","country","region","date","name","mutations","age","gender","lineage","vac_strain","fulllength_plus"
"AIM39450","566","Human","HA","H1N1","USA","N","2013/12/03","Influenza A virus (A/Florida/73/2013(H1N1))","","","","","","c"
"AKT08375","566","Human","HA","H1N1","USA","N","2013/12/04","Influenza A virus (A/Florida/78/2013(H1N1))","","","","","","c"
"APT37489","566","Human","HA","H1N1","USA","N","2016/10/17","Influenza A virus (A/Florida/85/2016(H1N1))","","","","","","c"
"APT37479","566","Human","HA","H1N1","USA","N","2016/10/17","Influenza A virus (A/Florida/85/2016(H1N1))","","","","","","c"
"ANE26689","566","Human","HA","H1N1","USA","N","2015/10/28","Influenza A virus (A/Florida/88/2015(H1N1))","","","","","","c"
"AMA11541","566","Human","HA","H1N1","USA","N","2015/10/28","Influenza A virus (A/Florida/88/2015(H1N1))","","","","","","c"
"ANE26936","566","Human","HA","H1N1","USA","N","2015/10/28","Influenza A virus (A/Florida/88/2015(H1N1))","","","","","","c"
"APT38348","566","Human","HA","H1N1","USA","N","2016/11/06","Influenza A virus (A/Florida/93/2016(H1N1))","","","","","","c"
"ANE27382","566","Human","HA","H1N1","USA","N","2015","Influenza A virus (A/Florida/95/2015(H1N1))","","","","","","c"
"ADM13141","566","Human","HA","H1N1","Germany","N","2010/01/08","Influenza A virus (A/Frankfurt/INS402/2010(H1N1))","","","","","","c"
"AIW63617","566","Human","HA","H1N1","China","N","2013/02/17","Influenza A virus (A/FuZhou/SWL1124/2013(H1N1))","","","","","","c"
"AIW63618","566","Human","HA","H1N1","China","N","2013/02/21","Influenza A virus (A/FuZhou/SWL1147/2013(H1N1))","","","","","","c"
"AIW63606","566","Human","HA","H1N1","China","N","2012/02/14","Influenza A virus (A/FuZhou/SWL1155/2012(H1N1))","","","","","","c"
"AIW63589","566","Human","HA","H1N1","China","N","2010/11/16","Influenza A virus (A/FuZhou/SWL11554/2010(H1N1))","","","","","","c"
"AIW63592","566","Human","HA","H1N1","China","N","2010/12/12","Influenza A virus (A/FuZhou/SWL11615/2010(H1N1))","","","","","","c"
"AIW63619","566","Human","HA","H1N1","China","N","2013/03/05","Influenza A virus (A/FuZhou/SWL1172/2013(H1N1))","","","","","","c"
"AIW63620","566","Human","HA","H1N1","China","N","2013/03/05","Influenza A virus (A/FuZhou/SWL1174/2013(H1N1))","","","","","","c"
"AIW63603","566","Human","HA","H1N1","China","N","2011/03/29","Influenza A virus (A/FuZhou/SWL1216/2011(H1N1))","","","","","","c"
"AIW63581","566","Human","HA","H1N1","China","N","2010/01/21","Influenza A virus (A/FuZhou/SWL1223/2010(H1N1))","","","","","","c"
"AIW63582","566","Human","HA","H1N1","China","N","2010/01/27","Influenza A virus (A/FuZhou/SWL1286/2010(H1N1))","","","","","","c"
"AIW63616","566","Human","HA","H1N1","China","N","2013/02/05","Influenza A virus (A/FuZhou/SWL129/2013(H1N1))","","","","","","c"
"AIW63583","566","Human","HA","H1N1","China","N","2010/02/02","Influenza A virus (A/FuZhou/SWL1338/2010(H1N1))","","","","","","c"
"AIW63584","566","Human","HA","H1N1","China","N","2010/02/10","Influenza A virus (A/FuZhou/SWL1395/2010(H1N1))","","","","","","c"
"AIW63591","566","Human","HA","H1N1","China","N","2010/11/30","Influenza A virus (A/FuZhou/SWL1439/2010(H1N1))","","","","","","c"
"AIW63585","566","Human","HA","H1N1","China","N","2010/02/25","Influenza A virus (A/FuZhou/SWL1494/2010(H1N1))","","","","","","c"
"AIW63586","566","Human","HA","H1N1","China","N","2010/03/08","Influenza A virus (A/FuZhou/SWL1549/2010(H1N1))","","","","","","c"
"AIW63609","566","Human","HA","H1N1","China","N","2013/01/17","Influenza A virus (A/FuZhou/SWL159/2013(H1N1))","","","","","","c"
"AIW63580","566","Human","HA","H1N1","China","N","2010/01/08","Influenza A virus (A/FuZhou/SWL172/2010(H1N1))","","","","","","c"
"AIW63597","566","Human","HA","H1N1","China","N","2011/01/31","Influenza A virus (A/FuZhou/SWL177/2011(H1N1))","","","","","","c"
"AIW63607","566","Human","HA","H1N1","China","N","2012/12/22","Influenza A virus (A/FuZhou/SWL1962/2012(H1N1))","","","","","","c"
"AIW63657","566","Human","HA","H1N1","China","N","2013/12/14","Influenza A virus (A/FuZhou/SWL31/2013(H1N1))","","","","","","c"
"AEA48985","566","Human","HA","H1N1","China","N","2010/12/19","Influenza A virus (A/Fuzhou/02/2010(H1N1))","","","","","","c"
"AHX38144","566","Human","HA","H1N1","USA","N","2014/01/12","Influenza A virus (A/Gainesville/03/2014(H1N1))","","","","","","c"
"AHX38145","566","Human","HA","H1N1","USA","N","2014/01/13","Influenza A virus (A/Gainesville/04/2014(H1N1))","","","","","","c"
"AHX38123","566","Human","HA","H1N1","USA","N","2014/01/15","Influenza A virus (A/Gainesville/05/2014(H1N1))","","","","","","c"
"AHX38147","566","Human","HA","H1N1","USA","N","2014/02/07","Influenza A virus (A/Gainesville/07/2014(H1N1))","","","","","","c"
"AHX38113","566","Human","HA","H1N1","USA","N","2013/12/04","Influenza A virus (A/Gainesville/08/2013(H1N1))","","","","","","c"
"AHX38142","566","Human","HA","H1N1","USA","N","2013/12/12","Influenza A virus (A/Gainesville/09/2013(H1N1))","","","","","","c"
"AFF57128","566","Human","HA","H1N1","South Korea","N","2010/12/14","Influenza A virus (A/Gangwon/2838/2010(H1N1))","","","","","","c"
"AQN74130","566","Human","HA","H1N1","South Korea","N","2016/01/18","Influenza A virus (A/Gangwon/61/2016(H1N1))","","","","","","c"
"ANC28275","566","Human","HA","H1N1","Turkey","N","2015/12/30","Influenza A virus (A/Gaziantep/02/2015(H1N1))","","","","","","c"
"AGV29064","566","Human","HA","H1N1","USA","N","2013/01/02","Influenza A virus (A/Georgia/01/2013(H1N1))","","","","","","c"
"AIM39716","566","Human","HA","H1N1","USA","N","2014/01/16","Influenza A virus (A/Georgia/01/2014(H1N1))","","","","","","c"
"AGI52984","566","Human","HA","H1N1","USA","N","2010/01/24","Influenza A virus (A/Georgia/02/2010(H1N1))","","","","","","c"
"AGV29137","566","Human","HA","H1N1","USA","N","2013/04/08","Influenza A virus (A/Georgia/02/2013(H1N1))","","","","","","c"
"ANE28680","566","Human","HA","H1N1","USA","N","2016/01/08","Influenza A virus (A/Georgia/02/2016(H1N1))","","","","","","c"
"AGI53156","566","Human","HA","H1N1","USA","N","2010/01/18","Influenza A virus (A/Georgia/03/2010(H1N1))","","","","","","c"
"AGL05028","566","Human","HA","H1N1","USA","N","2012/01/29","Influenza A virus (A/Georgia/03/2012(H1N1))","","","","","","c"
"AIM39374","566","Human","HA","H1N1","USA","N","2013/08/08","Influenza A virus (A/Georgia/04/2013(H1N1))","","","","","","c"
"AIM39402","566","Human","HA","H1N1","USA","N","2013/10/10","Influenza A virus (A/Georgia/05/2013(H1N1))","","","","","","c"
"AGI54081","566","Human","HA","H1N1","USA","N","2010/02/05","Influenza A virus (A/Georgia/06/2010(H1N1))","","","","","","c"
"AGL04706","566","Human","HA","H1N1","USA","N","2012/02/24","Influenza A virus (A/Georgia/06/2012(H1N1))","","","","","","c"
"AGI54119","566","Human","HA","H1N1","USA","N","2010/02/06","Influenza A virus (A/Georgia/07/2010(H1N1))","","","","","","c"
"AGL04756","566","Human","HA","H1N1","USA","N","2012/03/05","Influenza A virus (A/Georgia/07/2012(H1N1))","","","","","","c"
"ANM90513","566","Human","HA","H1N1","USA","N","2016/01/19","Influenza A virus (A/Georgia/07/2016(H1N1))","","","","","","c"
"AGI54290","566","Human","HA","H1N1","USA","N","2010/02/02","Influenza A virus (A/Georgia/09/2010(H1N1))","","","","","","c"
"AGL04937","566","Human","HA","H1N1","USA","N","2012/02/24","Influenza A virus (A/Georgia/09/2012(H1N1))","","","","","","c"
"ANM90568","566","Human","HA","H1N1","USA","N","2016","Influenza A virus (A/Georgia/10/2016(H1N1))","","","","","","c"
"ANM90579","566","Human","HA","H1N1","USA","N","2016/02/03","Influenza A virus (A/Georgia/11/2016(H1N1))","","","","","","c"
"ANM90590","566","Human","HA","H1N1","USA","N","2016/02/02","Influenza A virus (A/Georgia/12/2016(H1N1))","","","","","","c"
"ANM90612","566","Human","HA","H1N1","USA","N","2016/02/09","Influenza A virus (A/Georgia/14/2016(H1N1))","","","","","","c"
"ANE28064","566","Human","HA","H1N1","USA","N","2015/12/19","Influenza A virus (A/Georgia/15/2015(H1N1))","","","","","","c"
"AIM39550","566","Human","HA","H1N1","USA","N","2013","Influenza A virus (A/Georgia/17/2013(H1N1))","","","","","","c"
"AIM39581","566","Human","HA","H1N1","USA","N","2013/12/15","Influenza A virus (A/Georgia/22/2013(H1N1))","","","","","","c"
"AIM39573","566","Human","HA","H1N1","USA","N","2013/12/10","Influenza A virus (A/Georgia/24/2013(H1N1))","","","","","","c"
"ANM91734","566","Human","HA","H1N1","USA","N","2016/02/23","Influenza A virus (A/Georgia/25/2016(H1N1))","","","","","","c"
"ANM91767","566","Human","HA","H1N1","USA","N","2016/02/28","Influenza A virus (A/Georgia/31/2016(H1N1))","","","","","","c"
"AHG96338","566","Human","HA","H1N1","USA","N","2013/12/03","Influenza A virus (A/Georgia/3503/2013(H1N1))","","","","","","c"
"AHG96339","566","Human","HA","H1N1","USA","N","2013/12/04","Influenza A virus (A/Georgia/3504/2013(H1N1))","","","","","","c"
"AHV83814","566","Human","HA","H1N1","USA","N","2013/12/30","Influenza A virus (A/Georgia/3573/2013(H1N1))","","","","","","c"
"AHV83817","566","Human","HA","H1N1","USA","N","2013/12/18","Influenza A virus (A/Georgia/3576/2013(H1N1))","","","","","","c"
"ANM91855","566","Human","HA","H1N1","USA","N","2016/03/09","Influenza A virus (A/Georgia/38/2016(H1N1))","","","","","","c"
"ANM91866","566","Human","HA","H1N1","USA","N","2016/03/09","Influenza A virus (A/Georgia/39/2016(H1N1))","","","","","","c"
"AOT93096","566","Human","HA","H1N1","USA","N","2016/02/22","Influenza A virus (A/Georgia/43/2016(H1N1))","","","","","","c"
"AOT93107","566","Human","HA","H1N1","USA","N","2016/02/22","Influenza A virus (A/Georgia/43/2016(H1N1))","","","","","","c"
"APF45883","566","Human","HA","H1N1","USA","N","2016/02/08","Influenza A virus (A/Georgia/4972/2016(H1N1))","","","","","","c"
"APC58267","566","Human","HA","H1N1","USA","N","2016","Influenza A virus (A/Georgia/50/2016(H1N1))","","","","","","c"
"APC58289","566","Human","HA","H1N1","USA","N","2016","Influenza A virus (A/Georgia/51/2016(H1N1))","","","","","","c"
"APG55952","566","Human","HA","H1N1","USA","N","2016/03/04","Influenza A virus (A/Georgia/5118/2016(H1N1))","","","","","","c"
"APG55954","566","Human","HA","H1N1","USA","N","2016/03/07","Influenza A virus (A/Georgia/5120/2016(H1N1))","","","","","","c"
"APT38808","566","Human","HA","H1N1","USA","N","2016/10/04","Influenza A virus (A/Georgia/60/2016(H1N1))","","","","","","c"
"AGU93042","566","Human","HA","H1N1","USA","N","2012/02/01","Influenza A virus (A/Georgia/F32551/2012(H1N1))","","","","","","c"
"AGU92656","566","Human","HA","H1N1","USA","N","2012/02/01","Influenza A virus (A/Georgia/M5081/2012(H1N1))","","","","","","c"
"AGU92678","566","Human","HA","H1N1","USA","N","2012/02/01","Influenza A virus (A/Georgia/M5081/2012(H1N1))","","","","","","c"
"AGU92689","566","Human","HA","H1N1","USA","N","2012/02/01","Influenza A virus (A/Georgia/M5081/2012(H1N1))","","","","","","c"
"AGU92766","566","Human","HA","H1N1","USA","N","2012/02/01","Influenza A virus (A/Georgia/M5081/2012(H1N1))","","","","","","c"
"AGU92777","566","Human","HA","H1N1","USA","N","2012/02/01","Influenza A virus (A/Georgia/M5081/2012(H1N1))","","","","","","c"
"AGU92788","566","Human","HA","H1N1","USA","N","2012/02/01","Influenza A virus (A/Georgia/M5081/2012(H1N1))","","","","","","c"
"AGU92799","566","Human","HA","H1N1","USA","N","2012/02/01","Influenza A virus (A/Georgia/M5081/2012(H1N1))","","","","","","c"
"AGU92810","566","Human","HA","H1N1","USA","N","2012/02/01","Influenza A virus (A/Georgia/M5081/2012(H1N1))","","","","","","c"
"AGU92964","566","Human","HA","H1N1","USA","N","2012/02/01","Influenza A virus (A/Georgia/M5081/2012(H1N1))","","","","","","c"
"AGU92975","566","Human","HA","H1N1","USA","N","2012/02/01","Influenza A virus (A/Georgia/M5081/2012(H1N1))","","","","","","c"
"AGU92634","566","Human","HA","H1N1","USA","N","2012/02/01","Influenza A virus (A/Georgia/M5081/2012(H1N1))","","","","","","c"
"AHB73529","566","Human","HA","H1N1","USA","N","2013/03/14","Influenza A virus (A/Georgia/NHRC395552/2013(H1N1))","","","","","","c"
"AHN19504","566","Human","HA","H1N1","USA","N","2013/11/27","Influenza A virus (A/Georgia/NHRC415700/2013(H1N1))","","","","","","c"
"AHW46703","566","Human","HA","H1N1","USA","N","2013/12/09","Influenza A virus (A/Georgia/NHRC417050/2013(H1N1))","","","","","","c"
"AHH25265","566","Human","HA","H1N1","Ghana","T","2012/08/21","Influenza A virus (A/Ghana/DILI-0518/2012(H1N1))","","","","","","nc"
"AHH25254","566","Human","HA","H1N1","Ghana","T","2012/07/13","Influenza A virus (A/Ghana/FS-0895/2012(H1N1))","","","","","","nc"
"AHH25287","566","Human","HA","H1N1","Ghana","T","2010/06/15","Influenza A virus (A/Ghana/FS-10-3745/2010(H1N1))","","","","","","nc"
"AHH25304","566","Human","HA","H1N1","Ghana","T","2010/06/26","Influenza A virus (A/Ghana/FS-10-3900/2010(H1N1))","","","","","","nc"
"AHH25277","566","Human","HA","H1N1","Ghana","T","2010/06/30","Influenza A virus (A/Ghana/FS-10-3907/2010(H1N1))","","","","","","nc"
"AHH25307","566","Human","HA","H1N1","Ghana","T","2010/07/07","Influenza A virus (A/Ghana/FS-10-3959/2010(H1N1))","","","","","","nc"
"AHH25268","566","Human","HA","H1N1","Ghana","T","2010/07/08","Influenza A virus (A/Ghana/FS-10-3964/2010(H1N1))","","","","","","nc"
"AHH25292","566","Human","HA","H1N1","Ghana","T","2010/07/14","Influenza A virus (A/Ghana/FS-10-4023/2010(H1N1))","","","","","","nc"
"AHH25281","566","Human","HA","H1N1","Ghana","T","2010/07/14","Influenza A virus (A/Ghana/FS-10-4026/2010(H1N1))","","","","","","nc"
"AHH25252","566","Human","HA","H1N1","Ghana","T","2010/08/06","Influenza A virus (A/Ghana/FS-10-4184/2010(H1N1))","","","","","","nc"
"AHH25280","566","Human","HA","H1N1","Ghana","T","2010/09/08","Influenza A virus (A/Ghana/FS-10-4400/2010(H1N1))","","","","","","nc"
"AHH25291","566","Human","HA","H1N1","Ghana","T","2010/09/28","Influenza A virus (A/Ghana/FS-10-4466/2010(H1N1))","","","","","","nc"
"AHH25271","566","Human","HA","H1N1","Ghana","T","2012/11/26","Influenza A virus (A/Ghana/FS-1615/2012(H1N1))","","","","","","nc"
"AHH25286","566","Human","HA","H1N1","Ghana","T","2010/04/06","Influenza A virus (A/Ghana/FS-1966/2010(H1N1))","","","","","","nc"
"AHH25240","566","Human","HA","H1N1","Ghana","T","2010/04/06","Influenza A virus (A/Ghana/FS-1974/2010(H1N1))","","","","","","nc"
"AHH25294","566","Human","HA","H1N1","Ghana","T","2010/04/06","Influenza A virus (A/Ghana/FS-1976/2010(H1N1))","","","","","","nc"
"AHH25305","566","Human","HA","H1N1","Ghana","T","2010/02/26","Influenza A virus (A/Ghana/FS-323/2010(H1N1))","","","","","","nc"
"AHH25223","566","Human","HA","H1N1","Ghana","T","2010/03/09","Influenza A virus (A/Ghana/FS-411/2010(H1N1))","","","","","","nc"
"APO40384","566","Human","HA","H1N1","Iran","N","2016/01/01","Influenza A virus (A/Ghazvin/10129/2016(H1N1))","","","","","","c"
"APO40378","566","Human","HA","H1N1","Iran","N","2015/04/08","Influenza A virus (A/Ghazvin/93/2015(H1N1))","","","","","","c"
"APO40365","566","Human","HA","H1N1","Iran","N","2014/01/25","Influenza A virus (A/Ghom/73418/2014(H1N1))","","","","","","c"
"APO40379","566","Human","HA","H1N1","Iran","N","2014/12/24","Influenza A virus (A/Ghom/90240/2014(H1N1))","","","","","","c"
"AJE62468","566","Human","HA","H1N1","India","T","2010/08/26","Influenza A virus (A/Goa/027/2010(H1N1))","","","","","","c"
"AJE62475","566","Human","HA","H1N1","India","T","2010/08/07","Influenza A virus (A/Goa/034/2010(H1N1))","","","","","","c"
"AJE62476","566","Human","HA","H1N1","India","T","2010/10/09","Influenza A virus (A/Goa/035/2010(H1N1))","","","","","","c"
"AJE62488","566","Human","HA","H1N1","India","T","2011/06/07","Influenza A virus (A/Goa/047/2011(H1N1))","","","","","","c"
"ADJ80241","566","Human","HA","H1N1","Brazil","T","2010/01/29","Influenza A virus (A/Goias/16651/2010(H1N1))","","","","","","c"
"AGB08296","566","Human","HA","H1N1","Brazil","T","2012/05/06","Influenza A virus (A/Goias/31793/2012(H1N1))","","","","","","c"
"AGQ16246","566","Human","HA","H1N1","Guam","T","2013/04/08","Influenza A virus (A/Guam/3315/2013(H1N1))","","","","","","c"
"AIC73758","566","Human","HA","H1N1","Guam","T","2014/02/07","Influenza A virus (A/Guam/3736/2014(H1N1))","","","","","","c"
"AEF28931","566","Human","HA","H1N1","China","N","2011/01/19","Influenza A virus (A/Guangdong/002/2011(H1N1))","","","","","","c"
"AEF28934","566","Human","HA","H1N1","China","N","2011/01/30","Influenza A virus (A/Guangdong/010/2011(H1N1))","","","","","","c"
"AEF28935","566","Human","HA","H1N1","China","N","2011/01/29","Influenza A virus (A/Guangdong/012/2011(H1N1))","","","","","","c"
"AEF28936","566","Human","HA","H1N1","China","N","2011/02/14","Influenza A virus (A/Guangdong/013/2011(H1N1))","","","","","","c"
"AEF28937","566","Human","HA","H1N1","China","N","2011/02/14","Influenza A virus (A/Guangdong/015/2011(H1N1))","","","","","","c"
"AEF28939","566","Human","HA","H1N1","China","N","2011/02/21","Influenza A virus (A/Guangdong/029/2011(H1N1))","","","","","","c"
"AEF28940","566","Human","HA","H1N1","China","N","2011/01/18","Influenza A virus (A/Guangdong/032/2011(H1N1))","","","","","","c"
"AEF28941","566","Human","HA","H1N1","China","N","2011/02/28","Influenza A virus (A/Guangdong/033/2011(H1N1))","","","","","","c"
"AEF28943","566","Human","HA","H1N1","China","N","2011/03/03","Influenza A virus (A/Guangdong/040/2011(H1N1))","","","","","","c"
"AEF28944","566","Human","HA","H1N1","China","N","2011/03/01","Influenza A virus (A/Guangdong/048/2011(H1N1))","","","","","","c"
"AEF28945","566","Human","HA","H1N1","China","N","2011/01/24","Influenza A virus (A/Guangdong/049/2011(H1N1))","","","","","","c"
"AEF28946","566","Human","HA","H1N1","China","N","2011/02/21","Influenza A virus (A/Guangdong/052/2011(H1N1))","","","","","","c"
"AEF28947","566","Human","HA","H1N1","China","N","2011/02/22","Influenza A virus (A/Guangdong/067/2011(H1N1))","","","","","","c"
"AFN87924","566","Human","HA","H1N1","China","N","2011/02/22","Influenza A virus (A/Guangdong/102/2011(H1N1))","","","","","","c"
"AFN87934","566","Human","HA","H1N1","China","N","2011/02/15","Influenza A virus (A/Guangdong/13/2011(H1N1))","","","","","","c"
"AFN87936","566","Human","HA","H1N1","China","N","2011/05/25","Influenza A virus (A/Guangdong/147/2011(H1N1))","","","","","","c"
"AGG20153","566","Human","HA","H1N1","China","N","2012/12/19","Influenza A virus (A/Guangdong/1513/2012(H1N1))","","","","","","c"
"AFN87938","566","Human","HA","H1N1","China","N","2010/04/22","Influenza A virus (A/Guangdong/195/2010(H1N1))","","","","","","c"
"AEF28913","566","Human","HA","H1N1","China","N","2010/04/28","Influenza A virus (A/Guangdong/202/2010(H1N1))","","","","","","c"
"AEF28915","566","Human","HA","H1N1","China","N","2010/07/29","Influenza A virus (A/Guangdong/296/2010(H1N1))","","","","","","c"
"AFN87939","566","Human","HA","H1N1","China","N","2010/07/29","Influenza A virus (A/Guangdong/296/2010(H1N1))","","","","","","c"
"AEF28949","566","Human","HA","H1N1","China","N","2010/03/07","Influenza A virus (A/Guangdong/2989/2010(H1N1))","","","","","","c"
"AEF28916","566","Human","HA","H1N1","China","N","2010/07/22","Influenza A virus (A/Guangdong/302/2010(H1N1))","","","","","","c"
"AFN87943","566","Human","HA","H1N1","China","N","2011/02/12","Influenza A virus (A/Guangdong/32/2011(H1N1))","","","","","","c"
"AEF28918","566","Human","HA","H1N1","China","N","2010/08/06","Influenza A virus (A/Guangdong/321/2010(H1N1))","","","","","","c"
"AEF28919","566","Human","HA","H1N1","China","N","2010/08/24","Influenza A virus (A/Guangdong/353/2010(H1N1))","","","","","","c"
"AEF28920","566","Human","HA","H1N1","China","N","2010/08/30","Influenza A virus (A/Guangdong/370/2010(H1N1))","","","","","","c"
"AFN87945","566","Human","HA","H1N1","China","N","2010/08/30","Influenza A virus (A/Guangdong/370/2010(H1N1))","","","","","","c"
"AEF28922","566","Human","HA","H1N1","China","N","2010/03/24","Influenza A virus (A/Guangdong/378/2010(H1N1))","","","","","","c"
"AFN87947","566","Human","HA","H1N1","China","N","2010/04/11","Influenza A virus (A/Guangdong/379/2010(H1N1))","","","","","","c"
"AFN87949","566","Human","HA","H1N1","China","N","2011/02/28","Influenza A virus (A/Guangdong/39/2011(H1N1))","","","","","","c"
"AEF28924","566","Human","HA","H1N1","China","N","2010/09/07","Influenza A virus (A/Guangdong/410/2010(H1N1))","","","","","","c"
"AEF28950","566","Human","HA","H1N1","China","N","2010/04/12","Influenza A virus (A/Guangdong/4220/2010(H1N1))","","","","","","c"
"AEF28927","566","Human","HA","H1N1","China","N","2010/08/13","Influenza A virus (A/Guangdong/436/2010(H1N1))","","","","","","c"
"AFN87953","566","Human","HA","H1N1","China","N","2010/08/13","Influenza A virus (A/Guangdong/436/2010(H1N1))","","","","","","c"
"AFN87955","566","Human","HA","H1N1","China","N","2011/02/25","Influenza A virus (A/Guangdong/47/2011(H1N1))","","","","","","c"
"AFN87957","566","Human","HA","H1N1","China","N","2011/02/22","Influenza A virus (A/Guangdong/50/2011(H1N1))","","","","","","c"
"AKE37137","566","Human","HA","H1N1","China","N","2010/02/06","Influenza A virus (A/Guangdong/501/2010(H1N1))","","","","","","c"
"AEF28951","566","Human","HA","H1N1","China","N","2010/05/10","Influenza A virus (A/Guangdong/5303/2010(H1N1))","","","","","","c"
"AFN87959","566","Human","HA","H1N1","China","N","2011/02/22","Influenza A virus (A/Guangdong/67/2011(H1N1))","","","","","","c"
"AEF28952","566","Human","HA","H1N1","China","N","2010/06/20","Influenza A virus (A/Guangdong/7232/2010(H1N1))","","","","","","c"
"AEF28953","566","Human","HA","H1N1","China","N","2010/07/18","Influenza A virus (A/Guangdong/8450/2010(H1N1))","","","","","","c"
"AEF28954","566","Human","HA","H1N1","China","N","2010/08/16","Influenza A virus (A/Guangdong/9458/2010(H1N1))","","","","","","c"
"AEF28911","566","Human","HA","H1N1","China","N","2011/01/13","Influenza A virus (A/Guangdong/sz1/2011(H1N1))","","","","","","c"
"AEF28912","566","Human","HA","H1N1","China","N","2011/01/13","Influenza A virus (A/Guangdong/sz2/2011(H1N1))","","","","","","c"
"AGE83533","566","Human","HA","H1N1","China","N","2010/07/28","Influenza A virus (A/Guangzhou/GIRD74/2010(H1N1))","","","","","","c"
"AIZ07387","566","Human","HA","H1N1","South Korea","N","2014/02/03","Influenza A virus (A/Gwangju/599/2014(H1N1))","","","","","","c"
"AFF57124","566","Human","HA","H1N1","South Korea","N","2010/12/07","Influenza A virus (A/Gyeonggi/2623/2010(H1N1))","","","","","","c"
"ADG21188","566","Human","HA","H1N1","China","N","2010/01/04","Influenza A virus (A/Haishu/SWL110/2010(H1N1))","","","","","","c"
"AGJ73333","566","Human","HA","H1N1","Iran","N","2011/01/04","Influenza A virus (A/Hamedan/63/2011(H1N1))","","","","","","c"
"AEZ01086","566","Human","HA","H1N1","China","N","2010/01","Influenza A virus (A/Hangzhou/110/2010(H1N1))","","","","","","c"
"AEZ01087","566","Human","HA","H1N1","China","N","2010/01","Influenza A virus (A/Hangzhou/111/2010(H1N1))","","","","","","c"
"AEZ01088","566","Human","HA","H1N1","China","N","2010/01","Influenza A virus (A/Hangzhou/115/2010(H1N1))","","","","","","c"
"AEZ01089","566","Human","HA","H1N1","China","N","2010/02","Influenza A virus (A/Hangzhou/117/2010(H1N1))","","","","","","c"
"AEZ01090","566","Human","HA","H1N1","China","N","2010/02","Influenza A virus (A/Hangzhou/124/2010(H1N1))","","","","","","c"
"AEZ01091","566","Human","HA","H1N1","China","N","2010/02","Influenza A virus (A/Hangzhou/125/2010(H1N1))","","","","","","c"
"AEZ01094","566","Human","HA","H1N1","China","N","2010/03","Influenza A virus (A/Hangzhou/156/2010(H1N1))","","","","","","c"
"AEZ01095","566","Human","HA","H1N1","China","N","2010/03","Influenza A virus (A/Hangzhou/157/2010(H1N1))","","","","","","c"
"AEZ01096","566","Human","HA","H1N1","China","N","2010/03","Influenza A virus (A/Hangzhou/178/2010(H1N1))","","","","","","c"
"AEZ01098","566","Human","HA","H1N1","China","N","2011/01/07","Influenza A virus (A/Hangzhou/A10/2011(H1N1))","","","","","","c"
"AEZ01099","566","Human","HA","H1N1","China","N","2011/01/18","Influenza A virus (A/Hangzhou/A30/2011(H1N1))","","","","","","c"
"AEZ01100","566","Human","HA","H1N1","China","N","2011/01/25","Influenza A virus (A/Hangzhou/A44/2011(H1N1))","","","","","","c"
"AEZ01101","566","Human","HA","H1N1","China","N","2011/01/28","Influenza A virus (A/Hangzhou/A50/2011(H1N1))","","","","","","c"
"AEZ01103","566","Human","HA","H1N1","China","N","2011/02/11","Influenza A virus (A/Hangzhou/A76/2011(H1N1))","","","","","","c"
"AEZ01104","566","Human","HA","H1N1","China","N","2011/01/10","Influenza A virus (A/Hangzhou/B13/2011(H1N1))","","","","","","c"
"AEZ01105","566","Human","HA","H1N1","China","N","2011/01/12","Influenza A virus (A/Hangzhou/B19/2011(H1N1))","","","","","","c"
"AEZ01106","566","Human","HA","H1N1","China","N","2011/01/12","Influenza A virus (A/Hangzhou/B24/2011(H1N1))","","","","","","c"
"AEZ01107","566","Human","HA","H1N1","China","N","2011/01/17","Influenza A virus (A/Hangzhou/B30/2011(H1N1))","","","","","","c"
"AEZ01108","566","Human","HA","H1N1","China","N","2011/01/25","Influenza A virus (A/Hangzhou/B40/2011(H1N1))","","","","","","c"
"AEZ01109","566","Human","HA","H1N1","China","N","2011/01/27","Influenza A virus (A/Hangzhou/B47/2011(H1N1))","","","","","","c"
"AJE62469","566","Human","HA","H1N1","India","T","2010/10/19","Influenza A virus (A/Haryana/028/2010(H1N1))","","","","","","c"
"AJE62470","566","Human","HA","H1N1","India","T","2010/08/15","Influenza A virus (A/Haryana/029/2010(H1N1))","","","","","","c"
"AJE62517","566","Human","HA","H1N1","India","T","2012/06/11","Influenza A virus (A/Haryana/076/2012(H1N1))","","","","","","c"
"AJE62520","566","Human","HA","H1N1","India","T","2013/01/02","Influenza A virus (A/Haryana/079/2013(H1N1))","","","","","","c"
"AGK72825","566","Human","HA","H1N1","USA","N","2011/03/01","Influenza A virus (A/Hawaii/01/2011(H1N1))","","","","","","c"
"AGV29165","566","Human","HA","H1N1","USA","N","2013/05/28","Influenza A virus (A/Hawaii/01/2013(H1N1))","","","","","","c"
"AIM39680","566","Human","HA","H1N1","USA","N","2014/02/03","Influenza A virus (A/Hawaii/01/2014(H1N1))","","","","","","c"
"ALH26812","566","Human","HA","H1N1","USA","N","2015/01/04","Influenza A virus (A/Hawaii/01/2015(H1N1))","","","","","","c"
"ANE27822","566","Human","HA","H1N1","USA","N","2016/01/12","Influenza A virus (A/Hawaii/01/2016(H1N1))","","","","","","c"
"AGI54220","566","Human","HA","H1N1","USA","N","2010/01/02","Influenza A virus (A/Hawaii/02/2010(H1N1))","","","","","","c"
