Accession,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Protein,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
AFF59152.1,,"Buchy,P.",2012-03-31T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),498,GenBank,complete,H5N1,5,,nucleocapsid protein,Cambodia: Banteay Mean Chey,Cambodia,,Homo sapiens,,2012-01-10,,nucleocapsid protein [Influenza A virus (A/Cambodia/W0112303/2012(H5N1))]
AFF59153.1,,"Buchy,P.",2012-03-31T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),449,GenBank,complete,H5N1,6,,neuraminidase,Cambodia: Banteay Mean Chey,Cambodia,,Homo sapiens,,2012-01-10,,neuraminidase [Influenza A virus (A/Cambodia/W0112303/2012(H5N1))]
AFF59154.1,,"Buchy,P.",2012-03-31T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),252,GenBank,complete,H5N1,7,,matrix protein 1,Cambodia: Banteay Mean Chey,Cambodia,,Homo sapiens,,2012-01-10,,matrix protein 1 [Influenza A virus (A/Cambodia/W0112303/2012(H5N1))]
AFF59155.1,,"Buchy,P.",2012-03-31T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),97,GenBank,complete,H5N1,7,,matrix protein 2,Cambodia: Banteay Mean Chey,Cambodia,,Homo sapiens,,2012-01-10,,matrix protein 2 [Influenza A virus (A/Cambodia/W0112303/2012(H5N1))]
AFF59156.1,,"Buchy,P.",2012-03-31T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),225,GenBank,complete,H5N1,8,,nonstructural protein 1,Cambodia: Banteay Mean Chey,Cambodia,,Homo sapiens,,2012-01-10,,nonstructural protein 1 [Influenza A virus (A/Cambodia/W0112303/2012(H5N1))]
AFF59157.1,,"Buchy,P.",2012-03-31T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,GenBank,complete,H5N1,8,,nuclear export protein,Cambodia: Banteay Mean Chey,Cambodia,,Homo sapiens,,2012-01-10,,nuclear export protein [Influenza A virus (A/Cambodia/W0112303/2012(H5N1))]
AFH41186.1,,"Siluyanova,E.V., Alkhovskiy,S.V., Burtseva,E.I.",2012-04-14T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,GenBank,complete,H3N2,6,,neuraminidase,Russia,Russia,,Homo sapiens,,2010-11,,"neuraminidase, partial [Influenza A virus (A/Vladivostok/11/2010(H3N2))]"
AFH41187.1,,"Siluyanova,E.V., Alkhovskiy,S.V., Burtseva,E.I.",2012-04-14T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),97,GenBank,complete,H3N2,7,,matrix protein 2,Russia,Russia,,Homo sapiens,,2010-11,,matrix protein 2 [Influenza A virus (A/Vladivostok/11/2010(H3N2))]
AFH41188.1,,"Siluyanova,E.V., Alkhovskiy,S.V., Burtseva,E.I.",2012-04-14T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),252,GenBank,complete,H3N2,7,,matrix protein 1,Russia,Russia,,Homo sapiens,,2010-11,,matrix protein 1 [Influenza A virus (A/Vladivostok/11/2010(H3N2))]
AFH41320.1,,"Prilipov,A.G., Zhuravleva,M.M., Burtseva,E.I., Samokhvalov,E.I., Shihin,A.V.",2012-04-14T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),759,GenBank,complete,H1N1,1,,polymerase PB2,Russia,Russia,,Homo sapiens,oronasopharynx,2012-01-20,,polymerase PB2 [Influenza A virus (A/Tomsk/IIV-19/2012(H1N1))]
AFH41321.1,,"Prilipov,A.G., Zhuravleva,M.M., Burtseva,E.I., Samokhvalov,E.I., Shihin,A.V.",2012-04-14T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),757,GenBank,complete,H1N1,2,,polymerase PB1,Russia,Russia,,Homo sapiens,oronasopharynx,2012-01-20,,polymerase PB1 [Influenza A virus (A/Tomsk/IIV-19/2012(H1N1))]
AFH41322.1,,"Prilipov,A.G., Zhuravleva,M.M., Burtseva,E.I., Samokhvalov,E.I., Shihin,A.V.",2012-04-14T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),716,GenBank,complete,H1N1,3,,polymerase PA,Russia,Russia,,Homo sapiens,oronasopharynx,2012-01-20,,polymerase PA [Influenza A virus (A/Tomsk/IIV-19/2012(H1N1))]
AFH41323.1,,"Prilipov,A.G., Zhuravleva,M.M., Burtseva,E.I., Samokhvalov,E.I., Shihin,A.V.",2012-04-14T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),566,GenBank,complete,H1N1,4,,hemagglutinin,Russia,Russia,,Homo sapiens,oronasopharynx,2012-01-20,,hemagglutinin [Influenza A virus (A/Tomsk/IIV-19/2012(H1N1))]
AFH41324.1,,"Prilipov,A.G., Zhuravleva,M.M., Burtseva,E.I., Samokhvalov,E.I., Shihin,A.V.",2012-04-14T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),498,GenBank,complete,H1N1,5,,nucleocapsid protein,Russia,Russia,,Homo sapiens,oronasopharynx,2012-01-20,,nucleocapsid protein [Influenza A virus (A/Tomsk/IIV-19/2012(H1N1))]
AFH41325.1,,"Prilipov,A.G., Zhuravleva,M.M., Burtseva,E.I., Samokhvalov,E.I., Shihin,A.V.",2012-04-14T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,GenBank,complete,H1N1,6,,neuraminidase,Russia,Russia,,Homo sapiens,oronasopharynx,2012-01-20,,neuraminidase [Influenza A virus (A/Tomsk/IIV-19/2012(H1N1))]
AFH41326.1,,"Prilipov,A.G., Zhuravleva,M.M., Burtseva,E.I., Samokhvalov,E.I., Shihin,A.V.",2012-04-14T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),252,GenBank,complete,H1N1,7,,matrix protein 1,Russia,Russia,,Homo sapiens,oronasopharynx,2012-01-20,,matrix protein 1 [Influenza A virus (A/Tomsk/IIV-19/2012(H1N1))]
AFH41327.1,,"Prilipov,A.G., Zhuravleva,M.M., Burtseva,E.I., Samokhvalov,E.I., Shihin,A.V.",2012-04-14T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),97,GenBank,complete,H1N1,7,,matrix protein 2,Russia,Russia,,Homo sapiens,oronasopharynx,2012-01-20,,matrix protein 2 [Influenza A virus (A/Tomsk/IIV-19/2012(H1N1))]
AFH41328.1,,"Prilipov,A.G., Zhuravleva,M.M., Burtseva,E.I., Samokhvalov,E.I., Shihin,A.V.",2012-04-14T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),219,GenBank,complete,H1N1,8,,nonstructural protein 1,Russia,Russia,,Homo sapiens,oronasopharynx,2012-01-20,,nonstructural protein 1 [Influenza A virus (A/Tomsk/IIV-19/2012(H1N1))]
AFH41329.1,,"Prilipov,A.G., Zhuravleva,M.M., Burtseva,E.I., Samokhvalov,E.I., Shihin,A.V.",2012-04-14T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,GenBank,complete,H1N1,8,,nuclear export protein,Russia,Russia,,Homo sapiens,oronasopharynx,2012-01-20,,nuclear export protein [Influenza A virus (A/Tomsk/IIV-19/2012(H1N1))]
AFJ69989.1,,"Higgins,R.R., Beniprashad,M.D., Gubbay,J.B., Low,D.E.",2012-05-16T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,GenBank,complete,H1N1,6,,neuraminidase,Canada,Canada,,Homo sapiens,oronasopharynx,2010-12-19,,neuraminidase [Influenza A virus (A/Ontario/0820663/2010(H1N1))]
AFJ69990.1,,"Higgins,R.R., Beniprashad,M.D., Gubbay,J.B., Low,D.E.",2012-05-16T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,GenBank,complete,H1N1,6,,neuraminidase,Canada,Canada,,Homo sapiens,oronasopharynx,2010-12-30,,neuraminidase [Influenza A virus (A/Ontario/0843176/2010(H1N1))]
AFJ69991.1,,"Higgins,R.R., Beniprashad,M.D., Gubbay,J.B., Low,D.E.",2012-05-16T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,GenBank,complete,H1N1,6,,neuraminidase,Canada,Canada,,Homo sapiens,oronasopharynx,2011-01-18,,neuraminidase [Influenza A virus (A/Ontario/0055084/2011(H1N1))]
AFJ69992.1,,"Higgins,R.R., Beniprashad,M.D., Gubbay,J.B., Low,D.E.",2012-05-16T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,GenBank,complete,H1N1,6,,neuraminidase,Canada,Canada,,Homo sapiens,oronasopharynx,2011-03-14,,neuraminidase [Influenza A virus (A/Ontario/0216459/2011(H1N1))]
AFJ69993.1,,"Higgins,R.R., Beniprashad,M.D., Gubbay,J.B., Low,D.E.",2012-05-16T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,GenBank,complete,H3N2,6,,neuraminidase,Canada,Canada,,Homo sapiens,oronasopharynx,2010-11-19,,neuraminidase [Influenza A virus (A/Ontario/0728447/2010(H3N2))]
AFJ69994.1,,"Higgins,R.R., Beniprashad,M.D., Gubbay,J.B., Low,D.E.",2012-05-16T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,GenBank,complete,H3N2,6,,neuraminidase,Canada,Canada,,Homo sapiens,oronasopharynx,2011-01-20,,neuraminidase [Influenza A virus (A/Ontario/0065302/2011(H3N2))]
AFL56680.1,,"Shidlovskaya,E.V., Prilipov,A.G., Burtseva,E.I., Samokhvalov,E.I.",2012-06-11T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),759,GenBank,complete,H1N1,1,,polymerase PB2,Russia,Russia,,Homo sapiens,,2012-02-18,,polymerase PB2 [Influenza A virus (A/Moscow/IIV-45/2012(H1N1))]
AFL56681.1,,"Shidlovskaya,E.V., Prilipov,A.G., Burtseva,E.I., Samokhvalov,E.I.",2012-06-11T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),757,GenBank,complete,H1N1,2,,polymerase PB1,Russia,Russia,,Homo sapiens,,2012-02-18,,polymerase PB1 [Influenza A virus (A/Moscow/IIV-45/2012(H1N1))]
AFL56682.1,,"Shidlovskaya,E.V., Prilipov,A.G., Burtseva,E.I., Samokhvalov,E.I.",2012-06-11T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),716,GenBank,complete,H1N1,3,,polymerase PA,Russia,Russia,,Homo sapiens,,2012-02-18,,polymerase PA [Influenza A virus (A/Moscow/IIV-45/2012(H1N1))]
AFL56683.1,,"Shidlovskaya,E.V., Prilipov,A.G., Burtseva,E.I., Samokhvalov,E.I.",2012-06-11T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),566,GenBank,complete,H1N1,4,,hemagglutinin,Russia,Russia,,Homo sapiens,,2012-02-18,,hemagglutinin [Influenza A virus (A/Moscow/IIV-45/2012(H1N1))]
AFL56684.1,,"Shidlovskaya,E.V., Prilipov,A.G., Burtseva,E.I., Samokhvalov,E.I.",2012-06-11T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),498,GenBank,complete,H1N1,5,,nucleocapsid protein,Russia,Russia,,Homo sapiens,,2012-02-18,,nucleocapsid protein [Influenza A virus (A/Moscow/IIV-45/2012(H1N1))]
AFL56685.1,,"Shidlovskaya,E.V., Prilipov,A.G., Burtseva,E.I., Samokhvalov,E.I.",2012-06-11T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,GenBank,complete,H1N1,6,,neuraminidase,Russia,Russia,,Homo sapiens,,2012-02-18,,neuraminidase [Influenza A virus (A/Moscow/IIV-45/2012(H1N1))]
AFL56686.1,,"Shidlovskaya,E.V., Prilipov,A.G., Burtseva,E.I., Samokhvalov,E.I.",2012-06-11T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),252,GenBank,complete,H1N1,7,,matrix protein 1,Russia,Russia,,Homo sapiens,,2012-02-18,,matrix protein 1 [Influenza A virus (A/Moscow/IIV-45/2012(H1N1))]
AFL56687.1,,"Shidlovskaya,E.V., Prilipov,A.G., Burtseva,E.I., Samokhvalov,E.I.",2012-06-11T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),97,GenBank,complete,H1N1,7,,matrix protein 2,Russia,Russia,,Homo sapiens,,2012-02-18,,matrix protein 2 [Influenza A virus (A/Moscow/IIV-45/2012(H1N1))]
AFL56688.1,,"Shidlovskaya,E.V., Prilipov,A.G., Burtseva,E.I., Samokhvalov,E.I.",2012-06-11T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),219,GenBank,complete,H1N1,8,,nonstructural protein 1,Russia,Russia,,Homo sapiens,,2012-02-18,,nonstructural protein 1 [Influenza A virus (A/Moscow/IIV-45/2012(H1N1))]
AFL56689.1,,"Shidlovskaya,E.V., Prilipov,A.G., Burtseva,E.I., Samokhvalov,E.I.",2012-06-11T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,GenBank,complete,H1N1,8,,nuclear export protein,Russia,Russia,,Homo sapiens,,2012-02-18,,nuclear export protein [Influenza A virus (A/Moscow/IIV-45/2012(H1N1))]
AFM78646.1,,"He,J., Hu,W., Sun,Y., Wang,J., Ma,M., Liu,L.",2012-06-30T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),566,GenBank,complete,H1N1,4,,hemagglutinin,"China: Hefei, Anhui",China,,Homo sapiens,,2010-01-14,,hemagglutinin [Influenza A virus (A/Anhui/1225/2010(H1N1))]
AGB08374.1,,"Azhar,E.I., Norah,O.A., Ibrahim,K.H., Suha,F.A., Sohrab,S.S., Masri,B.E., Kumosani,T.A.",2012-12-26T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),566,GenBank,complete,H1N1,4,,hemagglutinin,Saudi Arabia: Jeddah,Saudi Arabia,,Homo sapiens,,2010-11-10,,hemagglutinin [Influenza A virus (A/Jeddah/3657/2010(H1N1))]
AEX63611.1,,"Sharma,S., Joshi,G., Dash,P.K., Thomas,M., Athmaram,T.N., Kumar,J.S., Desai,A., Vasanthapuram,R., Patro,I.K., Rao,P.V., Parida,M.",2013-01-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),566,GenBank,complete,H1N1,4,1,hemagglutinin,India,India,,Homo sapiens,,2011-08-24,,hemagglutinin [Influenza A virus (A/India/GWL02/2011(H1N1))]
AEX63612.1,,"Sharma,S., Joshi,G., Dash,P.K., Thomas,M., Athmaram,T.N., Kumar,J.S., Desai,A., Vasanthapuram,R., Patro,I.K., Rao,P.V., Parida,M.",2013-01-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),566,GenBank,complete,H1N1,4,1,hemagglutinin,India,India,,Homo sapiens,,2011-08-24,,hemagglutinin [Influenza A virus (A/India/GWL01/2011(H1N1))]
AGE15475.1,,"Higgins,R.R., Memari,N., Balogun,E., Gubbay,J.B.",2013-02-09T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,GenBank,complete,H1N1,6,,neuraminidase,Canada,Canada,,Homo sapiens,,2011-12-06,,neuraminidase [Influenza A virus (A/Ontario/1060303/2011(H1N1))]
AGE15476.1,,"Higgins,R.R., Memari,N., Balogun,E., Gubbay,J.B.",2013-02-09T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,GenBank,complete,H1N1,6,,neuraminidase,Canada,Canada,,Homo sapiens,,2011-12-13,,neuraminidase [Influenza A virus (A/Ontario/1089836/2011(H1N1))]
AGE15477.1,,"Higgins,R.R., Memari,N., Balogun,E., Gubbay,J.B.",2013-02-09T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,GenBank,complete,H1N1,6,,neuraminidase,Canada,Canada,,Homo sapiens,,2012-01-01,,neuraminidase [Influenza A virus (A/Ontario/0031804/2012(H1N1))]
AGE15478.1,,"Higgins,R.R., Memari,N., Balogun,E., Gubbay,J.B.",2013-02-09T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,GenBank,complete,H1N1,6,,neuraminidase,Canada,Canada,,Homo sapiens,,2012-01-05,,neuraminidase [Influenza A virus (A/Ontario/0025427/2012(H1N1))]
AGE15479.1,,"Higgins,R.R., Memari,N., Balogun,E., Gubbay,J.B.",2013-02-09T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,GenBank,complete,H1N1,6,,neuraminidase,Canada,Canada,,Homo sapiens,,2012-02-09,,neuraminidase [Influenza A virus (A/Ontario/0125950/2012(H1N1))]
AGE15480.1,,"Higgins,R.R., Memari,N., Balogun,E., Gubbay,J.B.",2013-02-09T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,GenBank,complete,H1N1,6,,neuraminidase,Canada,Canada,,Homo sapiens,,2012-01-26,,neuraminidase [Influenza A virus (A/Ontario/0188466/2012(H1N1))]
AGF37809.1,,"Higgins,R.R., Memari,N., Balogun,E., Gubbay,J.",2013-02-20T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,GenBank,complete,H3N2,6,,neuraminidase,Canada,Canada,,Homo sapiens,oronasopharynx,2012-02-02,,neuraminidase [Influenza A virus (A/Ontario/0020386/2012(H3N2))]
AGF37862.1,,"Higgins,R.R., Memari,N., Balogun,E., Gubbay,J.",2013-02-20T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,GenBank,complete,H3N2,6,,neuraminidase,Canada,Canada,,Homo sapiens,oronasopharynx,2012-02-06,,neuraminidase [Influenza A virus (A/Ontario/0020413/2012(H3N2))]
AGF37865.1,,"Higgins,R.R., Memari,N., Balogun,E., Gubbay,J.",2013-02-20T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,GenBank,complete,H3N2,6,,neuraminidase,Canada,Canada,,Homo sapiens,oronasopharynx,2012-01-30,,neuraminidase [Influenza A virus (A/Ontario/0100647/2012(H3N2))]
AGF37866.1,,"Higgins,R.R., Memari,N., Balogun,E., Gubbay,J.",2013-02-20T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,GenBank,complete,H3N2,6,,neuraminidase,Canada,Canada,,Homo sapiens,oronasopharynx,2012-02-01,,neuraminidase [Influenza A virus (A/Ontario/0100778/2012(H3N2))]
AGF37867.1,,"Higgins,R.R., Memari,N., Balogun,E., Gubbay,J.",2013-02-20T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,GenBank,complete,H3N2,6,,neuraminidase,Canada,Canada,,Homo sapiens,oronasopharynx,2012-02-14,,neuraminidase [Influenza A virus (A/Ontario/0151090/2012(H3N2))]
AGF69137.1,,"Chen,Y., Lu,Y., Mao,H., Zhang,Y., Zhou,M., Li,Z., Zhou,B., Yan,J.",2013-02-24T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,GenBank,complete,H1N1,6,,neuraminidase,China,China,,Homo sapiens,,2013-01-01,,neuraminidase [Influenza A virus (A/Zhejiang/HZa10/2013(H1N1))]
AGF69138.1,,"Chen,Y., Lu,Y., Mao,H., Zhang,Y., Zhou,M., Li,Z., Zhou,B., Yan,J.",2013-02-24T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,GenBank,complete,H1N1,6,,neuraminidase,China,China,,Homo sapiens,,2012-12-31,,neuraminidase [Influenza A virus (A/Zhejiang/HuZ1/2012(H1N1))]
AGF69139.1,,"Chen,Y., Lu,Y., Mao,H., Zhang,Y., Zhou,M., Li,Z., Zhou,B., Yan,J.",2013-02-24T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,GenBank,complete,H1N1,6,,neuraminidase,China,China,,Homo sapiens,,2013-01-09,,neuraminidase [Influenza A virus (A/Zhejiang/TZ6/2013(H1N1))]
AGF69140.1,,"Chen,Y., Lu,Y., Mao,H., Zhang,Y., Zhou,M., Li,Z., Zhou,B., Yan,J.",2013-02-24T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,GenBank,complete,H1N1,6,,neuraminidase,China,China,,Homo sapiens,,2013-01-09,,neuraminidase [Influenza A virus (A/Zhejiang/TZ11/2013(H1N1))]
AFO38700.1,,"Sharma,S., Joshi,G., Dash,P.K., Thomas,M., Athmaram,T.N., Kumar,J.S., Desai,A., Vasanthapuram,R., Patro,I.K., Rao,P.V., Parida,M., Dash,P., Parida,M.M.",2013-03-16T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,GenBank,complete,H1N1,6,1,neuraminidase,India,India,,Homo sapiens,,2011-08-24,,neuraminidase [Influenza A virus (A/India/GWL01/2011(H1N1))]
AFO38701.1,,"Sharma,S., Joshi,G., Dash,P.K., Thomas,M., Athmaram,T.N., Kumar,J.S., Desai,A., Vasanthapuram,R., Patro,I.K., Rao,P.V., Parida,M., Dash,P., Parida,M.M.",2013-03-16T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,GenBank,complete,H1N1,6,1,neuraminidase,India,India,,Homo sapiens,,2011-08-24,,neuraminidase [Influenza A virus (A/India/GWL02/2011(H1N1))]
AFO38702.1,,"Sharma,S., Joshi,G., Dash,P.K., Thomas,M., Athmaram,T.N., Kumar,J.S., Desai,A., Vasanthapuram,R., Patro,I.K., Rao,P.V., Parida,M., Dash,P., Parida,M.M.",2013-03-16T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),759,GenBank,complete,H1N1,1,1,polymerase PB2,India,India,,Homo sapiens,,2011-08-24,,polymerase PB2 [Influenza A virus (A/India/GWL01/2011(H1N1))]
AFO38703.1,,"Sharma,S., Joshi,G., Dash,P.K., Thomas,M., Athmaram,T.N., Kumar,J.S., Desai,A., Vasanthapuram,R., Patro,I.K., Rao,P.V., Parida,M., Dash,P., Parida,M.M.",2013-03-16T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),759,GenBank,complete,H1N1,1,1,polymerase PB2,India,India,,Homo sapiens,,2011-08-24,,polymerase PB2 [Influenza A virus (A/India/GWL02/2011(H1N1))]
AFO38704.1,,"Sharma,S., Joshi,G., Dash,P.K., Thomas,M., Athmaram,T.N., Kumar,J.S., Desai,A., Vasanthapuram,R., Patro,I.K., Rao,P.V., Parida,M., Dash,P., Parida,M.M.",2013-03-16T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),757,GenBank,complete,H1N1,2,1,polymerase PB1,India,India,,Homo sapiens,,2011-08-24,,polymerase PB1 [Influenza A virus (A/India/GWL01/2011(H1N1))]
AFO38705.1,,"Sharma,S., Joshi,G., Dash,P.K., Thomas,M., Athmaram,T.N., Kumar,J.S., Desai,A., Vasanthapuram,R., Patro,I.K., Rao,P.V., Parida,M., Dash,P., Parida,M.M.",2013-03-16T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),757,GenBank,complete,H1N1,2,1,polymerase PB1,India,India,,Homo sapiens,,2011-08-24,,polymerase PB1 [Influenza A virus (A/India/GWL02/2011(H1N1))]
AFO38706.1,,"Sharma,S., Joshi,G., Dash,P.K., Thomas,M., Athmaram,T.N., Kumar,J.S., Desai,A., Vasanthapuram,R., Patro,I.K., Rao,P.V., Parida,M., Dash,P., Parida,M.M.",2013-03-16T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),716,GenBank,complete,H1N1,3,1,polymerase PA,India,India,,Homo sapiens,,2011-08-24,,polymerase PA [Influenza A virus (A/India/GWL01/2011(H1N1))]
AFO38707.1,,"Sharma,S., Joshi,G., Dash,P.K., Thomas,M., Athmaram,T.N., Kumar,J.S., Desai,A., Vasanthapuram,R., Patro,I.K., Rao,P.V., Parida,M., Dash,P., Parida,M.M.",2013-03-16T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),716,GenBank,complete,H1N1,3,1,polymerase PA,India,India,,Homo sapiens,,2011-08-24,,polymerase PA [Influenza A virus (A/India/GWL02/2011(H1N1))]
AFO38708.1,,"Sharma,S., Joshi,G., Dash,P.K., Thomas,M., Athmaram,T.N., Kumar,J.S., Desai,A., Vasanthapuram,R., Patro,I.K., Rao,P.V., Parida,M., Dash,P., Parida,M.M.",2013-03-16T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),498,GenBank,complete,H1N1,5,1,nucleocapsid protein,India,India,,Homo sapiens,,2011-08-24,,nucleocapsid protein [Influenza A virus (A/India/GWL01/2011(H1N1))]
AFO38709.1,,"Sharma,S., Joshi,G., Dash,P.K., Thomas,M., Athmaram,T.N., Kumar,J.S., Desai,A., Vasanthapuram,R., Patro,I.K., Rao,P.V., Parida,M., Dash,P., Parida,M.M.",2013-03-16T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),498,GenBank,complete,H1N1,5,1,nucleocapsid protein,India,India,,Homo sapiens,,2011-08-24,,nucleocapsid protein [Influenza A virus (A/India/GWL02/2011(H1N1))]
AFO38710.1,,"Sharma,S., Joshi,G., Dash,P.K., Thomas,M., Athmaram,T.N., Kumar,J.S., Desai,A., Vasanthapuram,R., Patro,I.K., Rao,P.V., Parida,M., Dash,P., Parida,M.M.",2013-03-16T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),252,GenBank,complete,H1N1,7,1,matrix protein 1,India,India,,Homo sapiens,,2011-08-24,,matrix protein 1 [Influenza A virus (A/India/GWL01/2011(H1N1))]
AFO38711.1,,"Sharma,S., Joshi,G., Dash,P.K., Thomas,M., Athmaram,T.N., Kumar,J.S., Desai,A., Vasanthapuram,R., Patro,I.K., Rao,P.V., Parida,M., Dash,P., Parida,M.M.",2013-03-16T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),97,GenBank,complete,H1N1,7,1,matrix protein 2,India,India,,Homo sapiens,,2011-08-24,,matrix protein 2 [Influenza A virus (A/India/GWL01/2011(H1N1))]
