accession,length,date,name,
KP317244,1701,2011/02/21,A/Punjab/040/2011,
KT181026,1701,2011/02/21,A/Singapore/DMS1199/2011,
KJ955506,1752,2011/02/21,A/Ho Chi Minh/1095.2/2011,
KJ955508,1752,2011/02/21,A/Ho Chi Minh/1097.2/2011,
CY129734,1752,2011/02/21,A/Madrid/INS573/2011,
CY091706,1758,2011/02/22,A/Singapore/KK124/2011,
CY120948,1777,2011/02/22,A/Guangdong/50/2011,
JF929779,1701,2011/02/22,A/Guangdong/067/2011,
JN704791,1744,2011/02/22,A/Cheboksary/IIV-92/2011,
CY124587,1751,2011/02/22,A/Singapore/GP655/2011,
KC882336,1701,2011/02/22,A/Maryland/06/2011,
KP019858,1701,2011/02/22,A/NanPing/SWL1109/2011,
JN714500,1701,2011/02/22,A/Joshkar-Ola/CRIE-BLP/2011,
CY120915,1777,2011/02/22,A/Guangdong/102/2011,
CY120950,1777,2011/02/22,A/Guangdong/67/2011,
KC881877,1701,2011/02/23,A/Mississippi/07/2011,
KC881805,1701,2011/02/23,A/Tennessee/01/2011,
KC881910,1701,2011/02/23,A/Michigan/02/2011,
CY176397,1721,2011/02/23,A/Warsaw/INS3_658/2011,
KJ955511,1752,2011/02/23,A/Ho Chi Minh/1137.2/2011,
KM654831,1766,2011/02/23,A/Connecticut/Flu187/2011,
JQ693692,1701,2011/02/23,A/Taiwan/2116/2011,
CY129614,1752,2011/02/23,A/Cologne/INS538/2011,
CY124592,1777,2011/02/24,A/Singapore/GP677/2011,
JQ693691,1701,2011/02/24,A/Taiwan/1829/2011,
KC842150,1701,2011/02/24,A/Tehran/4952/2011,
KJ955510,1752,2011/02/24,A/Ho Chi Minh/1134.2/2011,
KJ955509,1752,2011/02/24,A/Ho Chi Minh/1120.2/2011,
KP317256,1701,2011/02/24,A/Delhi/052/2011,
CY091716,1755,2011/02/25,A/Singapore/TT160/2011,
KC882322,1701,2011/02/25,A/Nebraska/13/2011,
KC882314,1701,2011/02/25,A/Wisconsin/35/2011,
KC882202,1701,2011/02/25,A/Wisconsin/11/2011,
CY120946,1777,2011/02/25,A/Guangdong/47/2011,
CY129726,1752,2011/02/27,A/Athens/INS571/2011,
CY129485,1752,2011/02/27,A/Athens/INS570/2011,
CY120940,1777,2011/02/28,A/Guangdong/39/2011,
JF929773,1701,2011/02/28,A/Guangdong/033/2011,
KM654809,1772,2011/02/28,A/Connecticut/Flu188/2011,
KC881822,1701,2011/02/28,A/Pennsylvania/07/2011,
JQ396236,1776,2011/03/01,A/Kenya/139/2011,
JF929776,1701,2011/03/01,A/Guangdong/048/2011,
KC881919,1701,2011/03/01,A/Hawaii/01/2011,
KC881653,1701,2011/03/01,A/Texas/09/2011,
KC881719,1701,2011/03/01,A/North Carolina/08/2011,
CY091700,1777,2011/03/02,A/Singapore/GP730/2011,
KC882395,1701,2011/03/02,A/Maryland/08/2011,
KP019859,1701,2011/03/02,A/NanPing/SWL1132/2011,
KT181032,1701,2011/03/02,A/Singapore/DMS1206/2011,
MK731573,1727,2011/03/02,A/New York/WC-LVD-11-026/2011,
CY129573,1750,2011/03/03,A/Kowloon/INS628/2011,
KC842160,1701,2011/03/03,A/Tehran/5404/2011,
CY167660,1727,2011/03/03,A/Tennessee/F2068/2011,
KJ955513,1752,2011/03/03,A/Ho Chi Minh/1163.3/2011,
JF929775,1701,2011/03/03,A/Guangdong/040/2011,
KJ955512,1752,2011/03/03,A/Ho Chi Minh/1155.3/2011,
KP317260,1701,2011/03/05,A/Delhi/056/2011,
CY091597,1744,2011/03/05,A/Saint-Petersburg/RII174/2011,
KC842166,1701,2011/03/06,A/Marivan/5714/2011,
JQ693694,1701,2011/03/07,A/Taiwan/4709/2011,
CY124614,1777,2011/03/07,A/Singapore/GP767/2011,
KM203133,1701,2011/03/07,A/Kerala/RGCBE658/2011,
KC842178,1701,2011/03/07,A/Hormozgan/5896/2011,
KC882123,1701,2011/03/08,A/Colorado/05/2011,
KC882015,1701,2011/03/08,A/Arizona/02/2011,
KP019860,1701,2011/03/08,A/FuZhou/SWL1159/2011,
KC881814,1701,2011/03/08,A/Tennessee/02/2011,
KC881807,1701,2011/03/09,A/Alaska/11/2011,
KC881714,1701,2011/03/09,A/Illinois/05/2011,
KC882295,1701,2011/03/09,A/Missouri/03/2011,
KC842172,1701,2011/03/09,A/Alborz/5733/2011,
CY103841,1701,2011/03/11,A/Novosibirsk/89d/2011,
CY103843,1701,2011/03/11,A/Novosibirsk/105d/2011,
KJ955514,1752,2011/03/12,A/Ho Chi Minh/1192.3/2011,
KC882293,1701,2011/03/13,A/California/21/2011,
KC882187,1701,2011/03/14,A/New York/07/2011,
JN714517,1701,2011/03/14,A/St.Petersburg/CRIE-GoVM/2011,
JQ396237,1776,2011/03/15,A/Kenya/143/2011,
JQ396226,1775,2011/03/17,A/Kenya/127/2011,
KC881648,1701,2011/03/17,A/Wisconsin/17/2011,
KP317246,1701,2011/03/17,A/Punjab/042/2011,
CY167309,1752,2011/03/17,A/Tennessee/F2085/2011,
CY124634,1777,2011/03/18,A/Singapore/GP834/2011,
KC882039,1701,2011/03/20,A/New York/03/2011,
KP637694,1701,2011/03/21,A/Thailand/SP10502/2011,
CY124787,1777,2011/03/22,A/Singapore/TT187/2011,
KC881810,1701,2011/03/22,A/Louisiana/03/2011,
CY089391,1777,2011/03/23,A/Mexico/InDRE1947/2011,
KT181039,1701,2011/03/23,A/Singapore/DMS1215/2011,
KC881658,1701,2011/03/23,A/Colorado/04/2011,
CY124658,1777,2011/03/24,A/Singapore/GP871/2011,
KP941680,1701,2011/03/24,A/Thailand/CU-B4656/2011,
CY124650,1777,2011/03/24,A/Singapore/GP868/2011,
CY129654,1752,2011/03/24,A/Brooklyn/INS549/2011,
CY124713,1777,2011/03/28,A/Singapore/KK157/2011,
CY124792,1777,2011/03/28,A/Singapore/TT190/2011,
CY124666,1777,2011/03/29,A/Singapore/GP887/2011,
KC881585,1701,2011/03/29,A/New Mexico/10/2011,
KP019861,1701,2011/03/29,A/FuZhou/SWL1216/2011,
CY124671,1777,2011/03/30,A/Singapore/GP892/2011,
KC881964,1701,2011/03/30,A/Alaska/14/2011,
KC882278,1701,2011/03/30,A/Michigan/03/2011,
JQ396228,1776,2011/03/31,A/Kenya/129/2011,
CY167748,1752,2011/03/31,A/Tennessee/F2090/2011,
KP317258,1701,2011/04/01,A/Delhi/054/2011,
MG982582,1701,2011/04/01,A/shandong-zhifu/SWL146/2011,
KC882192,1701,2011/04/02,A/Connecticut/08/2011,
KP019862,1701,2011/04/02,A/LongYan/SWL1141/2011,
KP317259,1701,2011/04/03,A/Delhi/055/2011,
KC842158,1701,2011/04/03,A/Khorasan/5363/2011,
KP019863,1701,2011/04/04,A/LongYan/SWL1145/2011,
CY089854,1718,2011/04/04,A/Mexico/InDRE2424/2011,
JQ396238,1776,2011/04/05,A/Kenya/145/2011,
CY124694,1777,2011/04/08,A/Singapore/GP924/2011,
JQ396231,1776,2011/04/08,A/Kenya/132/2011,
KJ690511,1778,2011/04/11,A/Uganda/MUWRP-243/2011,
JQ396219,1776,2011/04/12,A/Kenya/118/2011,
KC881706,1701,2011/04/13,A/New York/09/2011,
KC881707,1701,2011/04/13,A/New York/09/2011,
KC882288,1701,2011/04/14,A/Arkansas/03/2011,
KF560302,1752,2011/04/15,A/Helsinki/11IH2213/2011,
JQ396239,1777,2011/04/18,A/Kenya/146/2011,
CY124726,1777,2011/04/18,A/Singapore/KK166/2011,
JQ065333,1701,2011/04/19,A/Shenzhen/126/2011,
KM885030,1701,2011/04/19,A/Bhopal/1613/2011,
KC882184,1701,2011/04/19,A/Minnesota/11/2011,
KC882136,1701,2011/04/19,A/New Mexico/08/2011,
JQ065330,1701,2011/04/19,A/Shenzhen/ns06/2011,
KP637566,1701,2011/05/06,A/Thailand/SN10560/2011,
JQ065327,1701,2011/05/11,A/Shenzhen/lg47/2011,
JQ065328,1701,2011/05/11,A/Shenzhen/lg56/2011,
JQ396234,1742,2011/05/12,A/Kenya/137/2011,
KF849793,1701,2011/05/14,A/Thailand/SirirajICRC_NMA_9/2011,
KC020363,1701,2011/05/17,A/Cambodia/V0601312/2011,
KP317254,1701,2011/05/19,A/Delhi/050/2011,
KT181044,1701,2011/05/19,A/Singapore/DMS1220/2011,
JQ396241,1777,2011/05/20,A/Kenya/148/2011,
KP941682,1701,2011/05/20,A/Thailand/CU-B4717/2011,
CY120927,1777,2011/05/25,A/Guangdong/147/2011,
JQ396222,1742,2011/05/30,A/Kenya/121/2011,
KC020364,1701,2011/06/01,A/Cambodia/V0608350/2011,
CY099997,1701,2011/06/02,A/Rio Grande do Sul/278/2011,
KF849789,1701,2011/06/03,A/Thailand/SirirajICRC_NMA_5/2011,
KF849796,1701,2011/06/03,A/Thailand/SirirajICRC_NMA_12/2011,
KF849790,1701,2011/06/03,A/Thailand/SirirajICRC_NMA_6/2011,
KF849795,1701,2011/06/03,A/Thailand/SirirajICRC_NMA_11/2011,
KF849788,1701,2011/06/03,A/Thailand/SirirajICRC_NMA_4/2011,
KF849787,1701,2011/06/03,A/Thailand/SirirajICRC_NMA_3/2011,
KF849792,1701,2011/06/03,A/Thailand/SirirajICRC_NMA_8/2011,
KF849797,1701,2011/06/03,A/Thailand/SirirajICRC_NMA_13/2011,
KF849786,1701,2011/06/03,A/Thailand/SirirajICRC_NMA_2/2011,
KF849794,1701,2011/06/03,A/Thailand/SirirajICRC_NMA_10/2011,
KP317251,1701,2011/06/07,A/Goa/047/2011,
KM203134,1701,2011/06/07,A/Kerala/RGCBE679/2011,
CY100001,1701,2011/06/07,A/Rio Grande do Sul/360/2011,
JQ396242,1776,2011/06/10,A/Kenya/149/2011,
CY100002,1701,2011/06/10,A/Rio Grande do Sul/361/2011,
KF196274,1701,2011/06/18,A/Sao Paulo/6-17634/2011,
JQ396235,1775,2011/06/21,A/Kenya/138/2011,
CY176602,1730,2011/06/24,A/Westmead/INS3_659/2011,
KC881591,1701,2011/07/03,A/Texas/10/2011,
JQ396232,1776,2011/07/04,A/Kenya/134/2011,
JQ396244,1777,2011/07/05,A/Kenya/151/2011,
JQ396230,1742,2011/07/08,A/Kenya/131/2011,
JQ396223,1777,2011/07/11,A/Kenya/122/2011,
KJ943388,1701,2011/07/12,A/Santiago/p1d1/2011,
CY129750,1752,2011/07/13,A/Darlinghurst/INS575/2011,
JQ624637,1721,2011/07/13,A/Sydney/CH2/2011,
KC020365,1701,2011/07/18,A/Cambodia/V0721310/2011,
CY176618,1721,2011/07/21,A/Westmead/INS3_661/2011,
CY176666,1752,2011/07/25,A/Darlinghurst/INS3_667/2011,
KU299855,1701,2011/07/25,A/Cambodia/V0803338/2011,
JQ396233,1777,2011/08/01,A/Kenya/136/2011,
KJ943170,1752,2011/08/02,A/Santiago/p21d2/2011(H1N1),
JQ624642,1721,2011/08/03,A/Sydney/IM1/2011,
KJ943208,1752,2011/08/03,A/Santiago/p21d3/2011(H1N1),
KF280655,1701,2011/08/10,A/India/P1112874/2011(H1N1),
KJ943478,1701,2011/08/16,A/Santiago/p15d1/2011,
KP637582,1701,2011/08/16,A/Thailand/SN11641/2011,
KP941684,1701,2011/08/18,A/Thailand/CU-B5356/2011,
KP637574,1701,2011/08/18,A/Thailand/SN11618/2011,
KJ943500,1701,2011/08/20,A/Santiago/p12d1/2011,
KJ943412,1753,2011/08/22,A/Santiago/p9d1/2011,
KY926188,1777,2011/08/22,A/Viamao/LACENRS-1400/2011,
KJ943470,1701,2011/08/23,A/Santiago/p13d2/2011,
JQ319658,1701,2011/08/24,A/India/GWL-01/2011,
KT181051,1701,2011/08/24,A/Singapore/DMS1228/2011,
KC020366,1701,2011/08/24,A/Cambodia/V0902314/2011,
KU299863,1701,2011/08/25,A/Cambodia/V0902335/2011,
KP941685,1701,2011/08/27,A/Thailand/CU-B5515/2011,
KU299871,1714,2011/08/31,A/Cambodia/V0908348/2011,
KF196273,1701,2011/09/01,A/Sao Paulo/2-24927/2011,
MN250979,1777,2011/09/01,A/MUWRP-Uganda/346/2011,
JX905420,1701,2011/09/07,A/Hawaii/05/2011,
MN250959,1777,2011/09/07,A/MUWRP-Uganda/347/2011,
KR861681,1701,2011/09/09,A/Bangalore/1808-53/2011,
KC891414,1701,2011/09/15,A/California/24/2011,
KU299886,1701,2011/09/16,A/Cambodia/V0921358/2011,
KC020367,1701,2011/09/22,A/Cambodia/V1005346/2011,
KU299894,1701,2011/09/22,A/Cambodia/V1003303/2011,
KF280663,1701,2011/09/23,A/India/P1114854/2011(H1N1),
KR861682,1701,2011/09/23,A/Bangalore/1974-55/2011,
KC891027,1701,2011/09/26,A/Pennsylvania/14/2011,
KF612082,1772,2011/09/29,A/Santa Cruz/7941/2011,
KU299902,1701,2011/10/10,A/Cambodia/V1019340/2011,
KU299910,1701,2011/10/11,A/Cambodia/V1019341/2011,
KF612085,1777,2011/10/12,A/Santa Cruz/7992/2011,
KC020368,1701,2011/10/12,A/Cambodia/V1019320/2011,
KF612084,1777,2011/10/14,A/Santa Cruz/4613/2011,
CY181817,1761,2011/10/15,A/Nicaragua/AGA2-36/2011,
CY181825,1752,2011/10/15,A/Nicaragua/AGA2-37/2011,
KC891026,1701,2011/10/16,A/Wisconsin/26/2011,
KF612086,1777,2011/10/17,A/Santa Cruz/0223/2011,
KP637590,1701,2011/10/17,A/Thailand/SN11667/2011,
CY181833,1752,2011/10/18,A/Nicaragua/AGA2-39/2011,
MN250925,1777,2011/10/18,A/MUWRP-Uganda/348/2011,
CY181857,1754,2011/10/20,A/Nicaragua/AGA2-42/2011,
KU299926,1701,2011/10/21,A/Cambodia/V1028353/2011,
JQ693492,1746,2011/10/25,A/Czech Republic/112/2011(H1N1),
MN250986,1777,2011/10/29,A/MUWRP-Uganda/349/2011,
KC891201,1701,2011/10/30,A/Florida/27/2011,
CY181993,1730,2011/10/30,A/Nicaragua/AGA2-60/2011,
KF612081,1777,2011/10/31,A/Santa Cruz/2083/2011,
CY182009,1752,2011/11/02,A/Nicaragua/AGA2-62/2011,
CY182065,1752,2011/11/11,A/Nicaragua/AGA2-70/2011,
KR861683,1701,2011/11/17,A/Bangalore/2327-56/2011,
CY182081,1752,2011/11/18,A/Nicaragua/AGA2-73/2011,
KX792271,1701,2011/11/22,A/India/P121253/2011,
KT181053,1701,2011/11/26,A/Singapore/DMS1230/2011,
MN250971,1777,2011/11/28,A/MUWRP-Uganda/350/2011,
CY182097,1752,2011/11/29,A/Nicaragua/AGA2-77/2011,
JQ348837,1701,2011/12/01,A/Wisconsin/28/2011,
CY160640,1752,2011/12/01,A/Peru/PER045/2011,
KC891202,1701,2011/12/07,A/Florida/35/2011,
KC891355,1701,2011/12/14,A/New York/21/2011,
CY182121,1752,2011/12/15,A/Nicaragua/AGA2-80/2011,
KC891378,1701,2011/12/16,A/Oregon/13/2011,
KF551080,1701,2011/12/16,A/Ontario/026/2011,
CY116642,1701,2011/12/18,A/Mexico/InDRE3740/2011,
KC891260,1701,2011/12/19,A/Pennsylvania/16/2011,
KC891263,1701,2011/12/20,A/Florida/36/2011,
KC891317,1701,2011/12/22,A/Vermont/16/2011,
CY182137,1752,2011/12/27,A/Nicaragua/AGA2-83/2011,
KC891325,1701,2011/12/28,A/California/52/2011,
KC891367,1701,2012/01/04,A/Colorado/01/2012,
KF598715,1701,2012/01/05,A/British Columbia/001/2012,
KC891054,1701,2012/01/07,A/Texas/02/2012,
KC891358,1701,2012/01/09,A/Texas/04/2012,
KR821008,1701,2012/01/10,A/Mexico/INMEGEN-INER 03/2012,
KJ856044,1701,2012/01/11,A/Sri Lanka/19/2012,
KR820946,1701,2012/01/11,A/Mexico/INMEGEN-INER 02/2012,
KR821040,1701,2012/01/11,A/Mexico/INMEGEN-INER 05/2012,
KR820980,1701,2012/01/12,A/Mexico/INMEGEN-INER 08/2012,
KR821016,1701,2012/01/12,A/Mexico/INMEGEN-INER 06/2012,
KR820962,1701,2012/01/12,A/Mexico/INMEGEN-INER 04/2012,
KF598734,1701,2012/01/13,A/Quebec/001/2012,
KC891372,1701,2012/01/17,A/Utah/01/2012,
KC891483,1701,2012/01/17,A/New Jersey/02/2012,
KC891015,1701,2012/01/18,A/California/16/2012,
CY110745,1745,2012/01/19,A/Mexico/InDRE689/2012,
KF280671,1701,2012/01/19,A/India/Nsk12388/2012(H1N1),
JQ768353,1701,2012/01/20,A/Tomsk/IIV-19/2012,
KR820938,1701,2012/01/21,A/Mexico/INMEGEN-INER 12/2012,
KC891455,1701,2012/01/22,A/Delaware/01/2012,
KR821048,1701,2012/01/22,A/Mexico/INMEGEN-INER 10/2012,
KR821024,1701,2012/01/23,A/Mexico/INMEGEN-INER 09/2012,
KC891449,1701,2012/01/23,A/North Carolina/04/2012,
JQ714074,1701,2012/01/24,A/Mexico City/INER1106/2012,
KC891234,1701,2012/01/24,A/Arizona/08/2012,
KR821032,1701,2012/01/24,A/Mexico/INMEGEN-INER 15/2012,
KC891035,1701,2012/01/24,A/Oregon/02/2012,
KR820988,1701,2012/01/26,A/Mexico/INMEGEN-INER 11/2012,
KT181055,1701,2012/01/26,A/Singapore/DMS1232/2012,
KC891471,1701,2012/01/26,A/New Mexico/01/2012,
KC891461,1701,2012/01/27,A/Idaho/03/2012,
KR820996,1701,2012/01/27,A/Mexico/INMEGEN-INER 13/2012,
KC891480,1701,2012/01/28,A/Maryland/03/2012,
KC891492,1701,2012/01/29,A/Georgia/03/2012,
KC891075,1701,2012/01/31,A/Idaho/05/2012,
KC891032,1701,2012/01/31,A/West Virginia/02/2012,
KC891464,1701,2012/02/01,A/Texas/18/2012,
CY148259,1754,2012/02/01,A/Georgia/F32551/2012,
CY148155,1754,2012/02/01,A/Georgia/M5081/2012,
CY147979,1754,2012/02/01,A/Georgia/M5081/2012,
CY148203,1727,2012/02/01,A/Georgia/M5081/2012,
CY148075,1754,2012/02/01,A/Georgia/M5081/2012,
CY176682,1752,2012/02/01,A/Lima/INS3_671/2012,
CY148171,1754,2012/02/01,A/Georgia/M5081/2012,
CY148211,1701,2012/02/01,A/Georgia/M5081/2012,
CY148067,1754,2012/02/01,A/Georgia/M5081/2012,
CY147995,1754,2012/02/01,A/Georgia/M5081/2012,
CY148091,1754,2012/02/01,A/Georgia/M5081/2012,
CY148003,1724,2012/02/01,A/Georgia/M5081/2012,
CY148059,1754,2012/02/01,A/Georgia/M5081/2012,
CY148083,1724,2012/02/01,A/Georgia/M5081/2012,
KT181056,1701,2012/02/01,A/Singapore/DMS1233/2012,
KF598735,1701,2012/02/02,A/Quebec/002/2012,
KC891010,1701,2012/02/06,A/Vermont/03/2012,
KP637438,1701,2012/02/06,A/Thailand/MR10580/2012,
KF280719,1701,2012/02/10,A/India/P12946/2012(H1N1),
KC891087,1701,2012/02/10,A/Kentucky/03/2012,
KC891503,1701,2012/02/12,A/Delaware/03/2012,
KC891573,1701,2012/02/12,A/Delaware/03/2012,
KC891066,1701,2012/02/13,A/Kansas/04/2012,
KC891081,1701,2012/02/13,A/Washington/15/2012,
KC891078,1701,2012/02/13,A/Washington/14/2012,
KC891129,1701,2012/02/13,A/Illinois/08/2012,
KC891063,1701,2012/02/14,A/Maryland/10/2012,
KP019864,1701,2012/02/14,A/FuZhou/SWL1155/2012,
KT181057,1701,2012/02/15,A/Singapore/DMS1234/2012,
KF598736,1701,2012/02/16,A/Quebec/003/2012,
KF551085,1701,2012/02/17,A/Ontario/008/2012,
JX046926,1701,2012/02/18,A/Moscow/IIV-45/2012,
KC891248,1701,2012/02/18,A/Idaho/07/2012,
MK731765,1752,2012/02/18,A/New York/WC-LVD-12-039/2012,
KC891158,1701,2012/02/19,A/Kentucky/07/2012,
KC891516,1701,2012/02/20,A/California/21/2012,
KF598726,1701,2012/02/21,A/British Columbia/012/2012,
KC891541,1701,2012/02/21,A/Texas/26/2012,
KF551084,1701,2012/02/21,A/Ontario/007/2012,
CY120054,1726,2012/02/22,A/Mexico/InDRE5498/2012,
KC508624,1777,2012/02/23,A/Arizona/M1/2012,
KC891251,1701,2012/02/24,A/Georgia/06/2012,
KF280679,1701,2012/02/24,A/India/P121716/2012(H1N1),
KF280687,1701,2012/02/24,A/India/P121717/2012(H1N1),
KF280703,1701,2012/02/24,A/India/P121778/2012(H1N1),
KC891427,1701,2012/02/24,A/Georgia/09/2012,
KC891283,1701,2012/02/24,A/Washington/19/2012,
KF280695,1701,2012/02/24,A/India/P121773/2012(H1N1),
MK731661,1752,2012/02/25,A/New York/WC-LVD-12-026/2012,
KC891096,1701,2012/02/26,A/North Dakota/01/2012,
CY176706,1735,2012/02/27,A/Minneapolis/INS3_675/2012,
KX792272,1701,2012/02/27,A/India/P121788/2012,
KF551087,1701,2012/02/28,A/Ontario/011/2012,
CY120058,1726,2012/02/28,A/Mexico/InDRE6023/2012,
KC508625,1777,2012/02/29,A/Arizona/M2/2012,
KC891090,1701,2012/02/29,A/Rhode Island/02/2012,
KC891179,1701,2012/02/29,A/Illinois/04/2012,
KF280711,1701,2012/02/29,A/India/P121939/2012(H1N1),
KF551088,1701,2012/02/29,A/Ontario/013/2012,
MH329107,1701,2012/02/29,A/Taiwan/00798/2012,
KF560174,1752,2012/03/01,A/Helsinki/922/2012,
KF586747,1701,2012/03/01,A/Alberta/023/2012,
KC891408,1701,2012/03/01,A/North Carolina/09/2012,
KC891047,1701,2012/03/02,A/Illinois/05/2012,
MH329109,1701,2012/03/02,A/Taiwan/00819/2012,
KC891138,1701,2012/03/02,A/Illinois/05/2012,
KC891270,1701,2012/03/03,A/Nevada/11/2012,
JX679212,1701,2012/03/04,A/Sao Paulo/14891/2012,
KC891102,1701,2012/03/04,A/Michigan/01/2012,
KC891173,1701,2012/03/05,A/Oklahoma/03/2012,
KC891289,1701,2012/03/05,A/Georgia/07/2012,
KC891417,1701,2012/03/05,A/New York/11/2012,
KC891115,1701,2012/03/05,A/New York/11/2012,
KX792286,1701,2012/03/05,A/India/P122045/2012,
KC891246,1701,2012/03/06,A/New Mexico/05/2012,
KX792275,1701,2012/03/06,A/India/P122059/2012,
KC891019,1701,2012/03/07,A/Texas/36/2012,
KC891291,1701,2012/03/07,A/Georgia/08/2012,
KF551091,1701,2012/03/07,A/Ontario/019/2012,
KF280727,1701,2012/03/07,A/India/VD122268/2012(H1N1),
KC891112,1701,2012/03/07,A/New York/12/2012,
KC891513,1701,2012/03/08,A/Texas/34/2012,
KC891135,1701,2012/03/08,A/Illinois/06/2012,
KC891051,1701,2012/03/08,A/Illinois/06/2012,
KF612088,1777,2012/03/08,A/Santa Cruz/111/2012,
KP317269,1701,2012/03/09,A/Delhi/065/2012,
KC891343,1701,2012/03/09,A/Virginia/07/2012,
KC513481,1777,2012/03/10,A/Arizona/M6/2012,
KC891443,1701,2012/03/10,A/New Hampshire/07/2012,
KC891273,1701,2012/03/10,A/Wyoming/06/2012,
KC891519,1701,2012/03/12,A/Texas/33/2012,
KC891132,1701,2012/03/12,A/Illinois/07/2012,
CY176714,1754,2012/03/12,A/Dayton/INS3_676/2012,
KC891424,1701,2012/03/12,A/Massachusetts/05/2012,
KX792280,1701,2012/03/13,A/India/P122300/2012,
KC513475,1776,2012/03/14,A/Arizona/M8/2012,
KT181059,1701,2012/03/14,A/Singapore/DMS1236/2012,
KC891337,1701,2012/03/14,A/Alaska/01/2012,
KF551095,1701,2012/03/14,A/Ontario/025/2012,
KC891339,1701,2012/03/15,A/Louisiana/01/2012,
KF041881,1777,2012/03/15,A/Ceara/119139/2012,
KF612091,1771,2012/03/15,A/Santa Cruz/541/2012,
KC891350,1701,2012/03/15,A/Utah/11/2012,
KF598731,1701,2012/03/16,A/British Columbia/017/2012,
KX792281,1701,2012/03/16,A/India/P122654/2012,
KC891264,1701,2012/03/17,A/Pennsylvania/06/2012,
KX792273,1701,2012/03/17,A/India/P122703/2012,
KX792266,1701,2012/03/17,A/India/P122707/2012,
KC891109,1701,2012/03/19,A/New York/13/2012,
KC891522,1701,2012/03/19,A/Texas/35/2012,
KF598740,1701,2012/03/19,A/Quebec/007/2012,
KC891170,1701,2012/03/20,A/Washington/22/2012,
KC891341,1701,2012/03/20,A/Minnesota/06/2012,
MK731789,1727,2012/03/20,A/New York/WC-LVD-12-042/2012,
KC891346,1701,2012/03/21,A/Colorado/12/2012,
KX792284,1701,2012/03/21,A/India/P123192/2012,
KX792285,1701,2012/03/22,A/India/P123167/2012,
KC891106,1701,2012/03/22,A/New York/14/2012,
KX792283,1701,2012/03/22,A/India/P123176/2012,
MK731741,1721,2012/03/23,A/New York/WC-LVD-12-036/2012,
MK731757,1727,2012/03/24,A/New York/WC-LVD-12-038/2012,
KF041871,1761,2012/03/25,A/Para/117896/2012,
CY125783,1755,2012/03/26,A/Boston/DOA93/2012,
KC891306,1701,2012/03/28,A/Colorado/14/2012,
KC891152,1701,2012/03/28,A/North Carolina/16/2012,
MK731669,1755,2012/03/28,A/New York/WC-LVD-12-027/2012,
KC891388,1701,2012/03/29,A/New Mexico/08/2012,
KC891164,1701,2012/03/29,A/New Mexico/08/2012,
KC891167,1701,2012/04/01,A/Texas/47/2012,
KC891219,1701,2012/04/01,A/Maryland/13/2012,
KC891177,1701,2012/04/03,A/Louisiana/03/2012,
KC513480,1740,2012/04/03,A/Arizona/M15/2012,
KC891146,1701,2012/04/05,A/Wyoming/09/2012,
KX792269,1701,2012/04/05,A/India/P125155/2012,
KP941686,1701,2012/04/07,A/Thailand/CU-B6181/2012,
KX792278,1701,2012/04/07,A/India/P125442/2012,
KC891184,1701,2012/04/08,A/Idaho/14/2012,
KR861684,1701,2012/04/10,A/Bangalore/597-39/2012,
KR861685,1701,2012/04/12,A/Bangalore/697-32/2012,
KJ411983,1777,2012/04/13,A/Arizona/M20/2012,
KC891187,1701,2012/04/14,A/Iowa/12/2012,
KC891556,1701,2012/04/16,A/Illinois/03/2012,
KX792306,1701,2012/04/16,A/India/Kerala128941/2012,
KC891193,1701,2012/04/16,A/Illinois/03/2012,
KX792268,1701,2012/04/16,A/India/P125709/2012,
KC891574,1701,2012/04/17,A/New York/34/2012,
MK731821,1727,2012/04/17,A/New York/WC-LVD-12-046/2012,
KC891392,1701,2012/04/18,A/Idaho/15/2012,
KC891393,1701,2012/04/18,A/Idaho/15/2012,
KX792307,1701,2012/04/19,A/India/Kerala128942/2012,
KX792308,1701,2012/04/20,A/India/Kerala128943/2012,
MK731781,1727,2012/04/20,A/New York/WC-LVD-12-041/2012,
KC891196,1701,2012/04/25,A/Virginia/11/2012,
KC891216,1701,2012/04/26,A/North Carolina/18/2012,
KP941687,1701,2012/04/29,A/Thailand/CU-B6213/2012,
KC891313,1701,2012/05/01,A/California/33/2012,
KC891391,1701,2012/05/01,A/Idaho/16/2012,
KC891395,1701,2012/05/01,A/Florida/15/2012,
KC891406,1701,2012/05/03,A/New Mexico/14/2012,
KC291185,1701,2012/05/06,A/Goias/31793/2012,
KC891055,1701,2012/05/08,A/Utah/16/2012,
KC891390,1701,2012/05/15,A/Maryland/16/2012,
KT181060,1701,2012/05/17,A/Singapore/DMS1237/2012,
KP317265,1701,2012/05/21,A/Delhi/061/2012,
KT181061,1701,2012/05/25,A/Singapore/DMS1239/2012,
KR861687,1701,2012/05/26,A/Bangalore/1428-35/2012,
KJ856168,1701,2012/06/02,A/Sri Lanka/22/2012,
KR861688,1701,2012/06/02,A/Bangalore/1491-34/2012,
KC891412,1701,2012/06/04,A/Wisconsin/16/2012,
KT181062,1701,2012/06/09,A/Singapore/DMS1240/2012,
KP317280,1701,2012/06/11,A/Haryana/076/2012,
KC291186,1701,2012/06/11,A/Tocantins/45384/2012,
KC891402,1701,2012/06/17,A/Washington/24/2012,
KY925893,1778,2012/06/22,A/Rosario do Sul/LACENRS-383/2012,
KC891018,1701,2012/06/24,A/South Carolina/13/2012,
