accession,segment,length,date,name
KF612081,4,1777,10/31/2011,A/Santa Cruz/2083/2011
KM408961,4,1701,10/12/2013,A/Mississippi/09/2013
CY189281,4,1752,1/23/2014,A/New York/WC-LVD-14-030/2014
KF849790,4,1701,6/3/2011,A/Thailand/SirirajICRC_NMA_6/2011
KF849795,4,1701,6/3/2011,A/Thailand/SirirajICRC_NMA_11/2011
KM409027,4,1701,3/29/2014,A/California/10/2014
KM409057,4,1701,2013,A/Georgia/17/2013
KM409060,4,1701,12/23/2013,A/West Virginia/24/2013
KM409139,4,1701,2/10/2014,A/Washington/07/2014
CY189145,4,1752,1/21/2014,A/New York/WC-LVD-14-013/2014
KM408934,4,1701,9/17/2013,A/New Hampshire/04/2013
KM409367,4,1701,3/12/2014,A/Maine/03/2014
KM409370,4,1701,3/5/2014,A/Delaware/02/2014
KM409283,4,1701,9/27/2013,A/Missouri/06/2013
KM409403,4,1701,3/19/2014,A/Missouri/05/2014
KF849788,4,1701,6/3/2011,A/Thailand/SirirajICRC_NMA_4/2011
KM409361,4,1701,1/9/2014,A/Rhode Island/03/2014
KM409095,4,1701,1/17/2014,A/California/08/2014
KM409015,4,1701,11/18/2013,A/Wyoming/07/2013
KM409142,4,1701,2/13/2014,A/Washington/06/2014
KF612082,4,1772,9/29/2011,A/Santa Cruz/7941/2011
KM409054,4,1701,12/16/2013,A/Rhode Island/07/2013
KF849778,4,1701,8/31/2010,A/Thailand/SirirajICRC_NSN_1/2010
CY189385,4,1752,2/26/2014,A/New York/WC-LVD-14-043/2014
CY189497,4,1752,3/28/2014,A/New York/WC-LVD-14-058/2014
CY189409,4,1752,3/6/2014,A/New York/WC-LVD-14-046/2014
KM409110,4,1701,1/31/2014,A/Oklahoma/04/2014
KM408982,4,1701,12/3/2013,A/Florida/73/2013
KM409000,4,1701,11/14/2013,A/Louisiana/20/2013
KM409166,4,1701,3/24/2014,A/Oregon/04/2014
KM409003,4,1701,11/17/2013,A/North Carolina/13/2013
CY189161,4,1752,1/22/2014,A/New York/WC-LVD-14-015/2014
CY189345,4,1752,2/10/2014,A/New York/WC-LVD-14-038/2014
KM366631,4,1752,2/7/2014,A/Helsinki/447M/2014
AB898079,4,1701,1/5/2013,A/Yamagata/15/2013
AB601605,4,1701,4/28/2010,A/Yamagata/143/2010
KP144943,4,1701,1/20/2014,A/Jeju/319/2014
KJ943208,4,1752,8/3/2011,A/Santiago/p21d3/2011(H1N1)
LC032905,4,1701,1/21/2014,A/Gunma/13G001/2014
CY188353,4,1752,7/9/2013,A/Nicaragua/6863_05/2013
KF612097,4,1777,9/21/2010,A/Santa Cruz/995/2010
KM885034,4,1701,8/16/2012,A/Jabalpur/1758/2012
KM219215,4,1752,2/5/2014,A/Helsinki/383N/2014
KM219167,4,1752,1/27/2014,A/Helsinki/289N/2014
KM885035,4,1701,3/29/2013,A/Indore/2820/2013
KM885030,4,1701,4/19/2011,A/Bhopal/1613/2011
KM219135,4,1752,1/27/2014,A/Helsinki/219N/2014
KM219159,4,1752,1/27/2014,A/Helsinki/289M/2014
KJ943050,4,1741,6/12/2013,A/Santiago/p13d1/2013(H1N1)
KJ943224,4,1754,6/22/2013,A/Santiago/p20d2/2013(H1N1)
KJ943232,4,1752,6/21/2013,A/Santiago/p20d1/2013(H1N1)
KM219271,4,1752,2/18/2014,A/Helsinki/771M/2014
KM885029,4,1701,8/9/2010,A/Jabalpur/543/2010
KM885036,4,1701,5/15/2013,A/Itarsi/2934/2013
KP067768,4,1713,3/30/2014,A/Ceara/129359-IEC/2014
KP144946,4,1701,2/3/2014,A/Gwangju/599/2014
KM277604,4,1781,2010,A/Tomsk/273-MA3/2010
CY189775,4,1752,6/17/2013,A/Nicaragua/30074_01_TR2/2013(H1N1)
CY189679,4,1752,7/12/2013,A/Nicaragua/30238_01_TR2/2013(H1N1)
KF732011,4,1701,7/30/2012,A/Thailand/ICRC-BKK5/2012
LC032985,4,1701,3/5/2014,A/Hokkaido/13H069/2014
LC033281,4,1701,1/25/2014,A/Nagasaki/13N075/2014
LC033241,4,1701,1/31/2014,A/Nagasaki/13N026/2014
LC033097,4,1701,1/28/2014,A/Niigata/13F003/2014
KP317244,4,1701,2/21/2011,A/Punjab/040/2011
KP864380,4,1701,2/18/2014,A/British Columbia/32/2014
KR820996,4,1701,1/27/2012,A/Mexico/INMEGEN-INER 13/2012
KR820980,4,1701,1/12/2012,A/Mexico/INMEGEN-INER 08/2012
KJ396027,4,1701,1/11/2014,A/Quebec/08/2014
KP864396,4,1744,1/10/2014,A/Ontario/02/2014
KP317229,4,1701,2/7/2010,A/Chattisgarh/025/2010
KP317236,4,1701,9/16/2010,A/Uttar Pradesh/032/2010
KM437714,4,1752,1/22/2014,A/Finland/30/2014
KM366719,4,1752,2/18/2014,A/Helsinki/770M/2014
KJ396007,4,1701,1/8/2014,A/British Columbia/05/2014
KP864397,4,1744,1/29/2014,A/Ontario/04/2014
KJ396000,4,1701,12/24/2013,A/British Columbia/49/2013
KP317224,4,1701,1/28/2010,A/Assam/020/2010
KJ396020,4,1701,1/7/2014,A/Quebec/01/2014
KP864410,4,1777,2/7/2014,A/Quebec/29/2014
KM366671,4,1752,2/17/2014,A/Helsinki/723M/2014
KM366583,4,1752,2/4/2014,A/Helsinki/340M/2014
KP317274,4,1701,10/4/2012,A/Uttrakhand/070/2012
KP317286,4,1701,2/18/2013,A/Uttrakhand/082/2013
KP864371,4,1701,2/12/2014,A/British Columbia/31/2014
KP864401,4,1777,1/21/2014,A/Quebec/23/2014
KM437642,4,1752,2/24/2014,A/Finland/109/2014
KP765780,4,1781,8/8/2010,A/NanChang/08/2010
LN846663,4,1701,1/3/2011,A/England/WTSI2051/2011
KP317227,4,1701,6/19/2010,A/Kerala/023/2010
KP317260,4,1701,3/5/2011,A/Delhi/056/2011
KP317262,4,1701,11/14/2012,A/Delhi/058/2012
KP317265,4,1701,5/21/2012,A/Delhi/061/2012
KP317256,4,1701,2/24/2011,A/Delhi/052/2011
KP317259,4,1701,4/3/2011,A/Delhi/055/2011
KP317240,4,1701,8/20/2010,A/Delhi/036/2010
KP317242,4,1701,8/22/2010,A/Delhi/038/2010
KP317254,4,1701,5/19/2011,A/Delhi/050/2011
KP317290,4,1701,1/31/2013,A/Delhi/086/2013
LN846582,4,1701,12/23/2010,A/England/WTSI1832/2010
LN846590,4,1701,3/18/2010,A/England/00380718/2010
LN849998,4,1701,12/18/2010,A/England/688/2010
KM213291,4,1777,2/16/2013,A/Oman/SQUH-79/2013
LN846526,4,1701,12/14/2010,A/England/697/2010
LN850070,4,1701,12/16/2010,A/England/05100297/2010
LN867644,4,1701,12/17/2010,A/England/05140176/2010
KM213266,4,1777,1/2/2010,A/Oman/SQUH-32/2010
KP019906,4,1701,10/14/2013,A/LongYan/SWL1604/2013
KP019867,4,1701,1/17/2013,A/FuZhou/SWL159/2013
KP019876,4,1701,2/21/2013,A/FuZhou/SWL1147/2013
KP019922,4,1701,2/10/2014,A/LongYan/SWL280/2014
KJ856098,4,1701,11/30/2010,A/Sri Lanka/20703/2010
KJ856044,4,1701,1/11/2012,A/Sri Lanka/19/2012
KJ856013,4,1701,1/15/2011,A/Sri Lanka/1082/2011
KJ856106,4,1701,11/30/2010,A/Sri Lanka/20708/2010
KJ856168,4,1701,6/2/2012,A/Sri Lanka/22/2012
KP019902,4,1701,9/9/2013,A/LongYan/SWL1529/2013
KP019870,4,1701,1/24/2013,A/LongYan/SWL33/2013
KP019874,4,1701,2/5/2013,A/FuZhou/SWL129/2013
KP019891,4,1701,5/27/2013,A/FuZhou/SWL1493/2013
KP019877,4,1701,3/5/2013,A/FuZhou/SWL1172/2013
KP019931,4,1701,6/10/2014,A/LongYan/SWL2457/2014
KP019863,4,1701,4/4/2011,A/LongYan/SWL1145/2011
KP019914,4,1701,12/12/2013,A/LongYan/SWL1781/2013
KP019915,4,1701,12/14/2013,A/FuZhou/SWL31/2013
KP019846,4,1701,3/10/2010,A/FuZhou/SWL1563/2010
KP019860,4,1701,3/8/2011,A/FuZhou/SWL1159/2011
KP019839,4,1701,1/21/2010,A/FuZhou/SWL1223/2010
KP019840,4,1701,1/27/2010,A/FuZhou/SWL1286/2010
KP019849,4,1701,11/30/2010,A/FuZhou/SWL1439/2010
KP019850,4,1701,12/12/2010,A/FuZhou/SWL11615/2010
KP019872,4,1701,1/24/2013,A/LongYan/SWL38/2013
KP019864,4,1701,2/14/2012,A/FuZhou/SWL1155/2012
LN846462,4,1701,12/13/2010,A/England/671/2010
LN846494,4,1701,2/4/2010,A/England/01220736/2010
LN846375,4,1701,12/16/2010,A/England/05120003/2010
LN850429,4,1701,12/10/2010,A/England/10820734/2010
KM213268,4,1777,1/2/2010,A/Oman/SQUH-34/2010
LN846795,4,1701,12/30/2010,A/England/10740685/2010
KM213278,4,1777,11/29/2012,A/Oman/SQUH-53/2012
KM213289,4,1777,3/4/2013,A/Oman/SQUH-76/2013
LN867700,4,1701,12/16/2010,A/England/05100301/2010
LN867868,4,1701,12/12/2010,A/England/718/2010
KR821008,4,1701,1/10/2012,A/Mexico/INMEGEN-INER 03/2012
KR611243,4,1734,1/1/2014,A/Wisconsin/V140687/2014
KR611244,4,1734,1/1/2014,A/Wisconsin/V140704/2014
KR271575,4,1701,1/13/2014,A/Mexico/200130/2014
KR820938,4,1701,1/21/2012,A/Mexico/INMEGEN-INER 12/2012
KR821032,4,1701,1/24/2012,A/Mexico/INMEGEN-INER 15/2012
KR271559,4,1701,1/6/2014,A/Mexico/200039/2014
KR861688,4,1701,6/2/2012,A/Bangalore/1491-34/2012
KR611200,4,1734,12/1/2013,A/Wisconsin/U140093/2013
KR611212,4,1734,12/1/2013,A/Wisconsin/U140144/2013
KR820946,4,1701,1/11/2012,A/Mexico/INMEGEN-INER 02/2012
KP317232,4,1701,10/19/2010,A/Haryana/028/2010
KR611242,4,1734,1/1/2014,A/Wisconsin/V140586/2014
KR820988,4,1701,1/26/2012,A/Mexico/INMEGEN-INER 11/2012
KR861683,4,1701,11/17/2011,A/Bangalore/2327-56/2011
KR861671,4,1701,8/11/2010,A/Bangalore/5274-20/2010
KR861676,4,1701,8/14/2010,A/Bangalore/5712-24/2010
KR611217,4,1734,1/1/2014,A/Wisconsin/U140173/2014
KR821040,4,1701,1/11/2012,A/Mexico/INMEGEN-INER 05/2012
KR861674,4,1701,8/13/2010,A/Bangalore/5532-05/2010
KR861684,4,1701,4/10/2012,A/Bangalore/597-39/2012
KR271567,4,1701,1/15/2014,A/Mexico/200102/2014
LN846639,4,1701,1/9/2011,A/England/10740704/2011
KP019925,4,1701,3/10/2014,A/QuanZhou/SWL1183/2014
KP019881,4,1701,4/9/2013,A/QuanZhou/SWL179/2013
KP019926,4,1701,3/11/2014,A/NanPing/SWL1223/2014
KP019879,4,1701,3/26/2013,A/NanPing/SWL1151/2013
LN850711,4,1701,12/16/2010,A/England/393/2010
LN850292,4,1701,12/30/2010,A/England/WTSI1826/2010
KM213267,4,1777,1/3/2010,A/Oman/SQUH-33/2010
KM213269,4,1777,1/9/2010,A/Oman/SQUH-36/2010
LN867462,4,1701,12/2/2010,A/England/04860560/2010
LN867470,4,1701,1/8/2011,A/England/10740658/2011
LN846336,4,1701,12/16/2010,A/England/675/2010
KP317248,4,1701,1/20/2011,A/Jammu & Kashmir/044/2011
LN850022,4,1701,12/24/2010,A/England/WTSI1769/2010
LN850102,4,1701,3/18/2010,A/England/WTSI1807/2010
KR821016,4,1701,1/12/2012,A/Mexico/INMEGEN-INER 06/2012
LN867365,4,1701,12/21/2010,A/England/WTSI1751/2010
KM213270,4,1777,1/11/2010,A/Oman/SQUH-37/2010
KM213281,4,1777,12/9/2012,A/Oman/SQUH-58/2012
KM213293,4,1777,1/16/2013,A/Oman/SQUH-83/2013
LN850364,4,1701,12/2/2010,A/England/04900053/2010
LN850719,4,1701,11/30/2010,A/England/04980053/2010
KM213276,4,1777,11/19/2012,A/Oman/SQUH-50/2012
LN846574,4,1701,12/18/2010,A/England/10740571/2010
LN867676,4,1701,3/18/2010,A/England/WTSI2067/2010
LN867397,4,1701,3/18/2010,A/England/WTSI1783/2010
LN867439,4,1701,1/3/2011,A/England/10740691/2011
KR820962,4,1701,1/12/2012,A/Mexico/INMEGEN-INER 04/2012
LN867357,4,1701,12/12/2010,A/England/414/2010
LN867724,4,1701,12/11/2010,A/England/05020673/2010
KR821024,4,1701,1/23/2012,A/Mexico/INMEGEN-INER 09/2012
KM213284,4,1777,12/12/2012,A/Oman/SQUH-63/2012
KM213285,4,1777,12/17/2012,A/Oman/SQUH-65/2012
LN867796,4,1701,12/20/2010,A/England/05140856/2010
LN867518,4,1701,12/17/2010,A/England/05140216/2010
LN850046,4,1701,12/1/2010,A/England/468/2010
KP019886,4,1701,4/19/2013,A/XiaMen/SWL37/2013
KP019851,4,1701,12/24/2010,A/NanPing/SWL1569/2010
KP019884,4,1701,4/18/2013,A/NanPing/SWL33/2013
KP019887,4,1701,5/4/2013,A/QuanZhou/SWL1135/2013
KP019889,4,1701,5/20/2013,A/ZhangZhou/SWL31/2013
KP019854,4,1701,1/25/2011,A/NanPing/SWL174/2011
KP019880,4,1701,4/9/2013,A/QuanZhou/SWL184/2013
KP019858,4,1701,2/22/2011,A/NanPing/SWL1109/2011
LN867828,4,1701,12/17/2010,A/England/05140283/2010
LN850321,4,1701,12/13/2010,A/England/377/2010
LN846510,4,1701,3/18/2010,A/England/01180016/2010
KP019882,4,1701,4/15/2013,A/XiaMen/SWL1123/2013
KP019883,4,1701,4/18/2013,A/NanPing/SWL35/2013
KP019890,4,1701,5/27/2013,A/SanMing/SWL1280/2013
LN846566,4,1701,12/21/2010,A/England/673/2010
LN846542,4,1701,12/13/2010,A/England/331/2010
KP019924,4,1701,3/1/2014,A/ZhangZhou/SWL1229/2014
KP019894,4,1701,6/17/2013,A/XiaMen/SWL1280/2013
KT181036,4,1701,6/20/2010,A/Singapore/DMS121/2010
KT181026,4,1701,2/21/2011,A/Singapore/DMS1199/2011
KR861670,4,1701,8/9/2010,A/Bangalore/4985-07/2010
KT181022,4,1701,2/16/2011,A/Singapore/DMS1194/2011
KT180990,4,1701,5/24/2010,A/Singapore/DMS110/2010
KT181055,4,1701,1/26/2012,A/Singapore/DMS1232/2012
KT181148,4,1701,1/11/2010,A/Singapore/DMS67/2010
KT181074,4,1701,5/14/2013,A/Singapore/DMS1315/2013
KT181187,4,1701,4/19/2010,A/Singapore/DMS98/2010
KR861681,4,1701,9/9/2011,A/Bangalore/1808-53/2011
KT181162,4,1701,2/10/2010,A/Singapore/DMS78/2010
KT181167,4,1701,3/1/2010,A/Singapore/DMS83/2010
KM366575,4,1752,12/20/2012,A/Helsinki/2430/2012
KP019899,4,1701,8/19/2013,A/ZhangZhou/SWL1418/2013
KT181082,4,1701,9/28/2010,A/Singapore/DMS143/2010
KT181173,4,1701,3/16/2010,A/Singapore/DMS88/2010
KT181006,4,1701,1/7/2011,A/Singapore/DMS1163/2011
KT181004,4,1701,6/7/2010,A/Singapore/DMS116/2010
KT181023,4,1701,2/18/2011,A/Singapore/DMS1195/2011
KT181072,4,1701,7/26/2010,A/Singapore/DMS131/2010
KT181091,4,1701,12/11/2010,A/Singapore/DMS161/2010
KR861689,4,1701,7/27/2012,A/Bangalore/1980-42/2012
KT181064,4,1701,7/2/2012,A/Singapore/DMS1242/2012
KT180985,4,1701,5/3/2010,A/Singapore/DMS103/2010
KP019910,4,1701,11/19/2013,A/XiaMen/SWL1744/2013
KT180992,4,1701,5/28/2010,A/Singapore/DMS112/2010
KT181059,4,1701,3/14/2012,A/Singapore/DMS1236/2012
KT181057,4,1701,2/15/2012,A/Singapore/DMS1234/2012
KM366351,4,1752,3/11/2013,A/Helsinki/1042/2013
KM366383,4,1752,2/28/2014,A/Helsinki/1151/2014
KM366463,4,1752,3/19/2013,A/Helsinki/1351/2013
KM366391,4,1752,3/11/2013,A/Helsinki/1197/2013
KM366479,4,1752,3/23/2013,A/Helsinki/1472/2013
KM366543,4,1752,4/8/2013,A/Helsinki/1677/2013
KM437690,4,1752,2012,A/Finland/214/2012
KM366551,4,1752,4/10/2013,A/Helsinki/1693/2013
KM366495,4,1752,3/23/2013,A/Helsinki/1492/2013
KM366439,4,1752,3/13/2013,A/Helsinki/1302/2013
KM366447,4,1752,3/18/2013,A/Helsinki/1333/2013
KM366519,4,1752,3/26/2013,A/Helsinki/1502/2013
KM437794,4,1752,2010,A/Finland/728/2010
KM437842,4,1752,2010,A/Finland/836N/2010
JN714529,4,1701,1/28/2011,A/Moscow oblast/CRIE-VFE/2011
KT180986,4,1701,5/6/2010,A/Singapore/DMS104/2010
KT181015,4,1701,1/25/2011,A/Singapore/DMS1180/2011
KT180982,4,1701,4/26/2010,A/Singapore/DMS100/2010
KP019929,4,1701,4/7/2014,A/XiaMen/SWL1272/2014
KT274492,4,1701,8/31/2014,A/Wisconsin/20/2014
KT274262,4,1701,1/3/2014,A/Nevada/03/2014
JN185098,4,1701,1/24/2011,A/Izhevsk/CRIE-AEM/2011
JN185099,4,1701,2/4/2011,A/Tula/CRIE-KEE/2011
KF746657,4,1701,3/11/2013,A/Kirov/CRIE-66/2013
JN185100,4,1701,2/9/2011,A/Tula/CRIE-FeN/2011
JN185105,4,1701,1/20/2011,A/St.Petersburg/CRIE-RME/2011
KT274248,4,1701,10/25/2013,A/Colorado/04/2013
KT274249,4,1701,10/10/2013,A/South Carolina/04/2013
KF013859,4,1701,12/29/2012,A/Kazan/CRIE-01/2012
KF746627,4,1701,2/14/2013,A/Volgograd/CRIE-12/2013
KF013861,4,1701,1/26/2013,A/Astrakhan/CRIE-16/2013
KF746629,4,1701,2/22/2013,A/Moscow/CRIE-14/2013
KR271527,4,1701,12/13/2013,A/Mexico/091312/2013
JN714513,4,1701,2/4/2011,A/Tula/CRIE-SYuP/2011
KT274356,4,1701,12/29/2013,A/Arkansas/34/2013
KT274405,4,1701,1/13/2014,A/Virginia/02/2014
JN185107,4,1701,1/23/2011,A/Nizhnii Novgorod/CRIE-UBA/2011
KF746641,4,1701,3/4/2013,A/Stavropol/CRIE-43/2013
KT274271,4,1701,3/9/2014,A/Wyoming/03/2014
KT274319,4,1701,1/4/2014,A/Arizona/01/2014
JN714500,4,1701,2/22/2011,A/Joshkar-Ola/CRIE-BLP/2011
KT274363,4,1701,12/26/2013,A/California/60/2013
JN714519,4,1701,1/24/2011,A/Nizhnii Novgorod/CRIE-KDA/2011
KT274608,4,1701,3/9/2014,A/South Dakota/02/2014
KT274622,4,1701,12/19/2013,A/Wyoming/22/2013
KT274666,4,1701,12/17/2013,A/North Carolina/20/2013
KF746656,4,1701,3/6/2013,A/Kirov/CRIE-65/2013
KT274215,4,1701,8/9/2014,A/Minnesota/15/2014
KT274292,4,1701,3/25/2014,A/Michigan/04/2014
JN185117,4,1701,2/10/2011,A/Tula/CRIE-LMV/2011
JN185108,4,1701,1/23/2011,A/Nizhnii Novgorod/CRIE-BGF/2011
JN185111,4,1701,2/3/2011,A/Ufa/CRIE-XFM/2011
JN185114,4,1701,2/7/2011,A/Orenburg/CRIE-GLM/2011
KF746645,4,1701,3/8/2013,A/Volgograd/CRIE-54/2013
KT274362,4,1701,1/14/2014,A/Alaska/02/2014
KT274673,4,1701,12/15/2013,A/Hawaii/03/2013
KT274452,4,1701,1/18/2014,A/Maryland/06/2014
KT274458,4,1701,2/16/2014,A/North Carolina/04/2014
KT274474,4,1701,11/18/2013,A/Oregon/08/2013
JN185113,4,1701,1/24/2011,A/Nizhnii Novgorod/CRIE-LAV/2011
KC190051,4,1701,2/1/2011,A/Matara/2132/2011
KC190052,4,1701,2/3/2011,A/Rathnapura/2356/2011
KT274312,4,1701,10/21/2013,A/Arkansas/16/2013
KR861696,4,1701,10/20/2012,A/Bangalore/3432-40/2012
KR861669,4,1701,8/8/2010,A/Bangalore/4976-17/2010
KR861682,4,1701,9/23/2011,A/Bangalore/1974-55/2011
KR861685,4,1701,4/12/2012,A/Bangalore/697-32/2012
KT836795,4,1701,2/7/2015,A/Hawaii/09/2015
KT836523,4,1701,10/18/2014,A/Illinois/08/2014
KT865650,4,1701,8/27/2015,A/Florida/66/2015
KT836745,4,1701,2/12/2015,A/Minnesota/04/2015
KT836845,4,1701,1/15/2015,A/California/33/2015
KT836860,4,1701,1/4/2015,A/Hawaii/01/2015
KT836515,4,1701,2014,A/Idaho/05/2014
KT836546,4,1701,4/13/2015,A/Hawaii/30/2015
KT836602,4,1701,3/27/2014,A/California/55/2014
KT836816,4,1701,8/5/2014,A/Alaska/36/2014
KT836824,4,1701,3/16/2015,A/Hawaii/26/2015
KT836615,4,1701,2/17/2015,A/Montana/05/2015
KT836583,4,1701,5/3/2015,A/Hawaii/41/2015
KT241014,4,1734,2/9/2010,A/Indore/379/2010
KT369728,4,1722,3/1/2015,A/Barwani/6024/2015
KT241021,4,1701,2/17/2015,A/Dewas/4497/2015
KP941685,4,1701,8/27/2011,A/Thailand/CU-B5515/2011
KT880157,4,1701,10/28/2014,A/Florida/62/2014
KT880152,4,1701,10/28/2014,A/Florida/62/2014
KT880176,4,1701,11/5/2014,A/Iowa/19/2014
KT880177,4,1701,11/5/2014,A/Iowa/19/2014
KP941689,4,1701,8/10/2012,A/Thailand/CU-B6609/2012
KP941695,4,1701,10/16/2013,A/Thailand/CU-B8573/2013
KT880150,4,1701,10/28/2014,A/Florida/62/2014
KP941687,4,1701,4/29/2012,A/Thailand/CU-B6213/2012
KP941705,4,1701,2/24/2014,A/Thailand/CU-B9225/2014
KP941739,4,1701,12/3/2014,A/Thailand/CU-B11363/2014
KP941688,4,1701,7/28/2012,A/Thailand/CU-B6475/2012
KP941694,4,1701,9/3/2013,A/Thailand/CU-A338/2013
KT880180,4,1701,10/28/2014,A/Florida/62/2014
KP941709,4,1701,4/30/2014,A/Thailand/CU-B10114/2014
KP941717,4,1701,5/21/2014,A/Thailand/CU-B10207/2014
KP941726,4,1701,9/18/2014,A/Thailand/CU-B10888/2014
KP941729,4,1701,9/10/2014,A/Thailand/CU-C5062/2014
KP941718,4,1701,6/25/2014,A/Thailand/CU-A1058/2014
KP941702,4,1701,2/4/2014,A/Thailand/CU-B9024/2014
KP941684,4,1701,8/18/2011,A/Thailand/CU-B5356/2011
KP941680,4,1701,3/24/2011,A/Thailand/CU-B4656/2011
KP941703,4,1701,2/8/2014,A/Thailand/CU-B9037/2014
KP941722,4,1701,7/24/2014,A/Thailand/CU-A1105/2014
KP941686,4,1701,4/7/2012,A/Thailand/CU-B6181/2012
KP941708,4,1701,3/20/2014,A/Thailand/CU-H3632/2014
KT880134,4,1701,10/28/2014,A/Florida/62/2014
KP941734,4,1701,11/19/2014,A/Thailand/CU-A1282/2014
KU509919,4,1701,10/12/2015,A/Minnesota/45/2015
KU509601,4,1701,10/13/2015,A/Illinois/15/2015
KU509703,4,1701,9/7/2015,A/Michigan/45/2015
KU509799,4,1701,11/5/2015,A/Arkansas/10/2015
KU509641,4,1701,8/6/2015,A/New York/61/2015
KP144976,4,1701,6/17/2013,A/Jiangsutinghu/SWL1354/2013
KP637902,4,1701,10/15/2012,A/Thailand/SP11743/2012
KT867219,4,1701,3/8/2015,A/India/DRDE_GWL719/2015
KT867224,4,1701,3/11/2015,A/India/DRDE_GWL812/2015
KT836733,4,1701,9/6/2014,A/Minnesota/23/2014
KT836726,4,1701,9/14/2014,A/Hawaii/55/2014
KT836763,4,1701,2/23/2015,A/California/23/2015
KU509895,4,1701,9/12/2015,A/California/90/2015
KP144972,4,1701,3/7/2013,A/Jiangsupizhou/SWL36/2013
KP144977,4,1701,6/18/2013,A/Jiangsutinghu/SWL1358/2013
KP637606,4,1701,11/8/2012,A/Thailand/SN11851/2012
KP637438,4,1701,2/6/2012,A/Thailand/MR10580/2012
KP637598,4,1701,7/13/2012,A/Thailand/SN11783/2012
KP637478,4,1701,9/13/2010,A/Thailand/PY08173/2010
KP637366,4,1701,8/19/2012,A/Thailand/KS10481/2012
KP637566,4,1701,5/6/2011,A/Thailand/SN10560/2011
KP637862,4,1701,2/18/2010,A/Thailand/SS08248/2010
KP637286,4,1701,2/7/2010,A/Thailand/IY07115/2010
KP637494,4,1701,8/27/2012,A/Thailand/PY12436/2012
KU504699,4,1701,12/1/2015,A/Sistan/57/2015
KP637422,4,1701,10/11/2010,A/Thailand/MR10419/2010
KU592819,4,1701,10/28/2014,A/Florida/62/2014
KU242425,4,1701,11/3/2015,A/Bushehr/116090/2015
KU299902,4,1701,10/10/2011,A/Cambodia/V1019340/2011
KU299871,4,1714,8/31/2011,A/Cambodia/V0908348/2011
KU299886,4,1701,9/16/2011,A/Cambodia/V0921358/2011
KU299863,4,1701,8/25/2011,A/Cambodia/V0902335/2011
KU299944,4,1701,10/8/2012,A/Cambodia/W1023346/2012
KU299894,4,1701,9/22/2011,A/Cambodia/V1003303/2011
KU761510,4,1744,1/24/2016,A/Czech Republic/4/2016
KU761519,4,1744,1/25/2016,A/Czech Republic/7/2016
KU821083,4,1745,1/21/2016,A/British Columbia/15/2016
KU720432,4,1701,1/16/2016,A/Iran/187/2016
KU720435,4,1701,1/5/2016,A/Iran/279/2016
KX014858,4,1744,2/1/2016,A/Czech Republic/15/2016
KX014852,4,1758,1/29/2016,A/Czech Republic/12/2016
KU144591,4,1701,4/1/2014,A/Thailand/BIDI-1/2014
KX004249,4,1752,12/12/2015,A/Maryland/21/2015
KX006237,4,1752,2/5/2016,A/North Dakota/08/2016
KX004300,4,1752,12/16/2015,A/Michigan/74/2015
KX004477,4,1752,12/24/2015,A/Connecticut/10/2015
KX005290,4,1753,12/25/2015,A/Idaho/40/2015
KX004225,4,1753,12/23/2015,A/Nevada/42/2015
KX005574,4,1752,1/27/2016,A/Kansas/01/2016
KX004286,4,1752,12/20/2015,A/Florida/100/2015
KX006139,4,1753,1/20/2016,A/Montana/08/2016
KX005330,4,1752,1/14/2016,A/Wyoming/01/2016
KX005737,4,1752,12/14/2015,A/Pennsylvania/54/2015
KX004651,4,1751,12/31/2015,A/Arizona/31/2015
KX005338,4,1752,12/21/2015,A/Virginia/298/2015
KX004970,4,1753,12/31/2015,A/Hawaii/83/2015
KX004493,4,1752,12/11/2015,A/Tennessee/23/2015
KX004587,4,1752,12/15/2015,A/Nevada/40/2015
KX004595,4,1751,12/28/2015,A/California/120/2015
KX005466,4,1752,1/9/2016,A/Arkansas/01/2016
KX004194,4,1752,10/19/2015,A/California/105/2015
KX004603,4,1751,12/29/2015,A/Florida/103/2015
KX004858,4,1752,1/20/2016,A/Michigan/08/2016
KX004978,4,1752,1/12/2016,A/Hawaii/01/2016
KX005314,4,1752,1/16/2016,A/Wyoming/02/2016
KX006026,4,1752,1/16/2016,A/Texas/03/2016
KX004898,4,1752,1/5/2016,A/Utah/01/2016
KX004209,4,1752,12/22/2015,A/Utah/16/2015
KX002295,4,1701,1/28/2015,A/Indiana/08/2015
KX005922,4,1752,2/1/2016,A/Wisconsin/23/2016
KX004546,4,1752,1/5/2016,A/New York/01/2016
KX004767,4,1752,12/23/2015,A/Florida/102/2015
KX004178,4,1752,11/4/2015,A/Iowa/53/2015
KX004106,4,1752,10/20/2015,A/Illinois/16/2015
KX004146,4,1752,8/20/2015,A/Maryland/16/2015
KX004346,4,1752,9/18/2015,A/Hawaii/59/2015
KX214551,4,1701,12/30/2015,A/Adana/07/2015
KT867221,4,1701,3/7/2015,A/India/DRDE_GWL703/2015
KT867222,4,1701,3/18/2015,A/India/DRDE_GWL989/2015
KT867223,4,1701,3/8/2015,A/India/DRDE_GWL721/2015
KX237695,4,1744,1/29/2016,A/Czech Republic/13/2016
KX237704,4,1743,2/5/2016,A/Czech Republic/26/2016
KX223762,4,1777,10/9/2015,A/Kenya/006/2015
