accession,release_date,length,genotype,segment,protein,geo_location,country,collection_date,genbank_title
AHB73601.1,2013-12-14T00:00:00Z,566,H1N1,4,hemagglutinin,Canada: Ontario,Canada,1/14/2013,hemagglutinin [Influenza A virus (A/Ontario/011/2013(H1N1))]
AHB73602.1,2013-12-14T00:00:00Z,566,H1N1,4,hemagglutinin,Canada: Ontario,Canada,1/19/2013,hemagglutinin [Influenza A virus (A/Ontario/026/2013(H1N1))]
AGQ88439.1,2013-12-30T00:00:00Z,757,H1N1,2,polymerase PB1,India,India,1/27/2013,polymerase PB1 [Influenza A virus (A/India/P131027/2013(H1N1))]
AHH30760.1,2014-02-02T00:00:00Z,560,H7N9,4,hemagglutinin,China,China,2013-05,hemagglutinin [Influenza A virus (A/Shanghai/5190T/2013(H7N9))]
AHH30761.1,2014-02-02T00:00:00Z,465,H7N9,6,neuraminidase,China,China,2013-05,neuraminidase [Influenza A virus (A/Shanghai/5190T/2013(H7N9))]
AHH30762.1,2014-02-02T00:00:00Z,498,H7N9,5,nucleocapsid protein,China,China,2013-05,nucleocapsid protein [Influenza A virus (A/Shanghai/5190T/2013(H7N9))]
AHH30763.1,2014-02-02T00:00:00Z,252,H7N9,7,matrix protein 1,China,China,2013-05,matrix protein 1 [Influenza A virus (A/Shanghai/5190T/2013(H7N9))]
AHH30764.1,2014-02-02T00:00:00Z,97,H7N9,7,matrix protein 2,China,China,2013-05,matrix protein 2 [Influenza A virus (A/Shanghai/5190T/2013(H7N9))]
AHH30765.1,2014-02-02T00:00:00Z,217,H7N9,8,nonstructural protein 1,China,China,2013-05,nonstructural protein 1 [Influenza A virus (A/Shanghai/5190T/2013(H7N9))]
AHH30766.1,2014-02-02T00:00:00Z,121,H7N9,8,nuclear export protein,China,China,2013-05,nuclear export protein [Influenza A virus (A/Shanghai/5190T/2013(H7N9))]
AHH30767.1,2014-02-02T00:00:00Z,716,H7N9,3,polymerase PA,China,China,2013-05,polymerase PA [Influenza A virus (A/Shanghai/5190T/2013(H7N9))]
AHH30768.1,2014-02-02T00:00:00Z,252,H7N9,3,PA-X protein,China,China,2013-05,PA-X protein [Influenza A virus (A/Shanghai/5190T/2013(H7N9))]
AHH30769.1,2014-02-02T00:00:00Z,757,H7N9,2,polymerase PB1,China,China,2013-05,polymerase PB1 [Influenza A virus (A/Shanghai/5190T/2013(H7N9))]
AHH30770.1,2014-02-02T00:00:00Z,90,H7N9,2,PB1-F2 protein,China,China,2013-05,PB1-F2 protein [Influenza A virus (A/Shanghai/5190T/2013(H7N9))]
AHH30771.1,2014-02-02T00:00:00Z,759,H7N9,1,polymerase PB2,China,China,2013-05,polymerase PB2 [Influenza A virus (A/Shanghai/5190T/2013(H7N9))]
AHL21375.1,2014-03-09T00:00:00Z,566,H3N2,4,hemagglutinin,USA,USA,2/4/2014,hemagglutinin [Influenza A virus (A/Gainesville/01/2014(H3N2))]
AHL21376.1,2014-03-09T00:00:00Z,469,H3N2,6,neuraminidase,USA,USA,2/4/2014,neuraminidase [Influenza A virus (A/Gainesville/01/2014(H3N2))]
AHL21377.1,2014-03-09T00:00:00Z,97,H3N2,7,matrix protein 2,USA,USA,2/4/2014,matrix protein 2 [Influenza A virus (A/Gainesville/01/2014(H3N2))]
AHL21378.1,2014-03-09T00:00:00Z,252,H3N2,7,matrix protein 1,USA,USA,2/4/2014,matrix protein 1 [Influenza A virus (A/Gainesville/01/2014(H3N2))]
AHW83222.1,2014-04-19T00:00:00Z,759,H3N2,1,polymerase PB2,Italy,Italy,2014-01,polymerase PB2 [Influenza A virus (A/Pavia/07/2014(H3N2))]
AHW83223.1,2014-04-19T00:00:00Z,716,H3N2,3,polymerase PA,Italy,Italy,2014-01,polymerase PA [Influenza A virus (A/Pavia/07/2014(H3N2))]
AHW83224.1,2014-04-19T00:00:00Z,757,H3N2,2,polymerase PB1,Italy,Italy,2014-01,polymerase PB1 [Influenza A virus (A/Pavia/07/2014(H3N2))]
AHW83225.1,2014-04-19T00:00:00Z,52,H3N2,2,putative PB1-F2 protein,Italy,Italy,2014-01,putative PB1-F2 protein [Influenza A virus (A/Pavia/07/2014(H3N2))]
AHW83226.1,2014-04-19T00:00:00Z,566,H3N2,4,hemagglutinin,Italy,Italy,2014-01,hemagglutinin [Influenza A virus (A/Pavia/07/2014(H3N2))]
AHW83227.1,2014-04-19T00:00:00Z,498,H3N2,5,nucleocapsid protein,Italy,Italy,2014-01,nucleocapsid protein [Influenza A virus (A/Pavia/07/2014(H3N2))]
AHW83228.1,2014-04-19T00:00:00Z,469,H3N2,6,neuraminidase,Italy,Italy,2014-01,neuraminidase [Influenza A virus (A/Pavia/07/2014(H3N2))]
AHW83229.1,2014-04-19T00:00:00Z,252,H3N2,7,matrix protein 1,Italy,Italy,2014-01,matrix protein 1 [Influenza A virus (A/Pavia/07/2014(H3N2))]
AHW83230.1,2014-04-19T00:00:00Z,97,H3N2,7,matrix protein 2,Italy,Italy,2014-01,matrix protein 2 [Influenza A virus (A/Pavia/07/2014(H3N2))]
AHW83231.1,2014-04-19T00:00:00Z,230,H3N2,8,nonstructural protein 1,Italy,Italy,2014-01,nonstructural protein 1 [Influenza A virus (A/Pavia/07/2014(H3N2))]
AHW83232.1,2014-04-19T00:00:00Z,121,H3N2,8,nuclear export protein,Italy,Italy,2014-01,nuclear export protein [Influenza A virus (A/Pavia/07/2014(H3N2))]
AHX38110.1,2014-04-26T00:00:00Z,759,H1N1,1,polymerase PB2,USA,USA,12/4/2013,polymerase PB2 [Influenza A virus (A/Gainesville/08/2013(H1N1))]
AHX38111.1,2014-04-26T00:00:00Z,757,H1N1,2,polymerase PB1,USA,USA,12/4/2013,polymerase PB1 [Influenza A virus (A/Gainesville/08/2013(H1N1))]
AHX38112.1,2014-04-26T00:00:00Z,716,H1N1,3,polymerase PA,USA,USA,12/4/2013,polymerase PA [Influenza A virus (A/Gainesville/08/2013(H1N1))]
AHX38113.1,2014-04-26T00:00:00Z,566,H1N1,4,hemagglutinin,USA,USA,12/4/2013,hemagglutinin [Influenza A virus (A/Gainesville/08/2013(H1N1))]
AHX38114.1,2014-04-26T00:00:00Z,498,H1N1,5,nucleocapsid protein,USA,USA,12/4/2013,nucleocapsid protein [Influenza A virus (A/Gainesville/08/2013(H1N1))]
AHX38115.1,2014-04-26T00:00:00Z,469,H1N1,6,neuraminidase,USA,USA,12/4/2013,neuraminidase [Influenza A virus (A/Gainesville/08/2013(H1N1))]
AHX38116.1,2014-04-26T00:00:00Z,252,H1N1,7,matrix protein 1,USA,USA,12/4/2013,matrix protein 1 [Influenza A virus (A/Gainesville/08/2013(H1N1))]
AHX38117.1,2014-04-26T00:00:00Z,97,H1N1,7,matrix protein 2,USA,USA,12/4/2013,matrix protein 2 [Influenza A virus (A/Gainesville/08/2013(H1N1))]
AHX38118.1,2014-04-26T00:00:00Z,219,H1N1,8,nonstructural protein 1,USA,USA,12/4/2013,nonstructural protein 1 [Influenza A virus (A/Gainesville/08/2013(H1N1))]
AHX38119.1,2014-04-26T00:00:00Z,121,H1N1,8,nuclear export protein,USA,USA,12/4/2013,nuclear export protein [Influenza A virus (A/Gainesville/08/2013(H1N1))]
AHX38120.1,2014-04-26T00:00:00Z,759,H1N1,1,polymerase PB2,USA,USA,1/15/2014,polymerase PB2 [Influenza A virus (A/Gainesville/05/2014(H1N1))]
AHX38121.1,2014-04-26T00:00:00Z,757,H1N1,2,polymerase PB1,USA,USA,1/15/2014,polymerase PB1 [Influenza A virus (A/Gainesville/05/2014(H1N1))]
AHX38122.1,2014-04-26T00:00:00Z,716,H1N1,3,polymerase PA,USA,USA,1/15/2014,polymerase PA [Influenza A virus (A/Gainesville/05/2014(H1N1))]
AHX38123.1,2014-04-26T00:00:00Z,566,H1N1,4,hemagglutinin,USA,USA,1/15/2014,hemagglutinin [Influenza A virus (A/Gainesville/05/2014(H1N1))]
AHX38124.1,2014-04-26T00:00:00Z,498,H1N1,5,nucleocapsid protein,USA,USA,1/15/2014,nucleocapsid protein [Influenza A virus (A/Gainesville/05/2014(H1N1))]
AHX38125.1,2014-04-26T00:00:00Z,469,H1N1,6,neuraminidase,USA,USA,1/15/2014,neuraminidase [Influenza A virus (A/Gainesville/05/2014(H1N1))]
AHX38126.1,2014-04-26T00:00:00Z,252,H1N1,7,matrix protein 1,USA,USA,1/15/2014,matrix protein 1 [Influenza A virus (A/Gainesville/05/2014(H1N1))]
AHX38127.1,2014-04-26T00:00:00Z,97,H1N1,7,matrix protein 2,USA,USA,1/15/2014,matrix protein 2 [Influenza A virus (A/Gainesville/05/2014(H1N1))]
AHX38128.1,2014-04-26T00:00:00Z,219,H1N1,8,nonstructural protein 1,USA,USA,1/15/2014,nonstructural protein 1 [Influenza A virus (A/Gainesville/05/2014(H1N1))]
AHX38129.1,2014-04-26T00:00:00Z,121,H1N1,8,nuclear export protein,USA,USA,1/15/2014,nuclear export protein [Influenza A virus (A/Gainesville/05/2014(H1N1))]
AHX38130.1,2014-04-26T00:00:00Z,252,H1N1,7,matrix protein 1,USA,USA,12/12/2013,matrix protein 1 [Influenza A virus (A/Gainesville/09/2013(H1N1))]
AHX38131.1,2014-04-26T00:00:00Z,97,H1N1,7,matrix protein 2,USA,USA,12/12/2013,matrix protein 2 [Influenza A virus (A/Gainesville/09/2013(H1N1))]
AHX38132.1,2014-04-26T00:00:00Z,252,H1N1,7,matrix protein 1,USA,USA,12/30/2013,matrix protein 1 [Influenza A virus (A/Gainesville/10/2013(H1N1))]
AHX38133.1,2014-04-26T00:00:00Z,97,H1N1,7,matrix protein 2,USA,USA,12/30/2013,matrix protein 2 [Influenza A virus (A/Gainesville/10/2013(H1N1))]
AHX38134.1,2014-04-26T00:00:00Z,252,H1N1,7,matrix protein 1,USA,USA,1/12/2014,matrix protein 1 [Influenza A virus (A/Gainesville/03/2014(H1N1))]
AHX38135.1,2014-04-26T00:00:00Z,97,H1N1,7,matrix protein 2,USA,USA,1/12/2014,matrix protein 2 [Influenza A virus (A/Gainesville/03/2014(H1N1))]
AHX38136.1,2014-04-26T00:00:00Z,252,H1N1,7,matrix protein 1,USA,USA,1/13/2014,matrix protein 1 [Influenza A virus (A/Gainesville/04/2014(H1N1))]
AHX38137.1,2014-04-26T00:00:00Z,97,H1N1,7,matrix protein 2,USA,USA,1/13/2014,matrix protein 2 [Influenza A virus (A/Gainesville/04/2014(H1N1))]
AHX38138.1,2014-04-26T00:00:00Z,252,H1N1,7,matrix protein 1,USA,USA,1/19/2014,matrix protein 1 [Influenza A virus (A/Gainesville/06/2014(H1N1))]
AHX38139.1,2014-04-26T00:00:00Z,97,H1N1,7,matrix protein 2,USA,USA,1/19/2014,matrix protein 2 [Influenza A virus (A/Gainesville/06/2014(H1N1))]
AHX38140.1,2014-04-26T00:00:00Z,252,H1N1,7,matrix protein 1,USA,USA,2/7/2014,matrix protein 1 [Influenza A virus (A/Gainesville/07/2014(H1N1))]
AHX38141.1,2014-04-26T00:00:00Z,97,H1N1,7,matrix protein 2,USA,USA,2/7/2014,matrix protein 2 [Influenza A virus (A/Gainesville/07/2014(H1N1))]
AHX38142.1,2014-04-26T00:00:00Z,566,H1N1,4,hemagglutinin,USA,USA,12/12/2013,hemagglutinin [Influenza A virus (A/Gainesville/09/2013(H1N1))]
AHX38143.1,2014-04-26T00:00:00Z,566,H1N1,4,hemagglutinin,USA,USA,12/30/2013,hemagglutinin [Influenza A virus (A/Gainesville/10/2013(H1N1))]
AHX38144.1,2014-04-26T00:00:00Z,566,H1N1,4,hemagglutinin,USA,USA,1/12/2014,hemagglutinin [Influenza A virus (A/Gainesville/03/2014(H1N1))]
AHX38145.1,2014-04-26T00:00:00Z,566,H1N1,4,hemagglutinin,USA,USA,1/13/2014,hemagglutinin [Influenza A virus (A/Gainesville/04/2014(H1N1))]
AHX38146.1,2014-04-26T00:00:00Z,566,H1N1,4,hemagglutinin,USA,USA,1/19/2014,hemagglutinin [Influenza A virus (A/Gainesville/06/2014(H1N1))]
AHX38147.1,2014-04-26T00:00:00Z,566,H1N1,4,hemagglutinin,USA,USA,2/7/2014,hemagglutinin [Influenza A virus (A/Gainesville/07/2014(H1N1))]
AHX38148.1,2014-04-26T00:00:00Z,469,H1N1,6,neuraminidase,USA,USA,12/12/2013,neuraminidase [Influenza A virus (A/Gainesville/09/2013(H1N1))]
AHX38149.1,2014-04-26T00:00:00Z,469,H1N1,6,neuraminidase,USA,USA,12/30/2013,neuraminidase [Influenza A virus (A/Gainesville/10/2013(H1N1))]
AHX38150.1,2014-04-26T00:00:00Z,469,H1N1,6,neuraminidase,USA,USA,1/12/2014,neuraminidase [Influenza A virus (A/Gainesville/03/2014(H1N1))]
AHX38151.1,2014-04-26T00:00:00Z,469,H1N1,6,neuraminidase,USA,USA,1/13/2014,neuraminidase [Influenza A virus (A/Gainesville/04/2014(H1N1))]
AHX38152.1,2014-04-26T00:00:00Z,469,H1N1,6,neuraminidase,USA,USA,1/19/2014,neuraminidase [Influenza A virus (A/Gainesville/06/2014(H1N1))]
AHX38153.1,2014-04-26T00:00:00Z,469,H1N1,6,neuraminidase,USA,USA,2/7/2014,neuraminidase [Influenza A virus (A/Gainesville/07/2014(H1N1))]
AHK10800.1,2014-05-27T00:00:00Z,560,H7N9,4,hemagglutinin,China,China,1/3/2014,hemagglutinin [Influenza A virus (A/Shanghai/01/2014(H7N9))]
AHK10801.1,2014-05-27T00:00:00Z,252,H7N9,7,matrix protein 1,China,China,1/3/2014,matrix protein 1 [Influenza A virus (A/Shanghai/01/2014(H7N9))]
AHK10802.1,2014-05-27T00:00:00Z,97,H7N9,7,matrix protein 2,China,China,1/3/2014,matrix protein 2 [Influenza A virus (A/Shanghai/01/2014(H7N9))]
AHK10803.1,2014-05-27T00:00:00Z,465,H7N9,6,neuraminidase,China,China,1/3/2014,neuraminidase [Influenza A virus (A/Shanghai/01/2014(H7N9))]
AHK10804.1,2014-05-27T00:00:00Z,498,H7N9,5,nucleocapsid protein,China,China,1/3/2014,nucleocapsid protein [Influenza A virus (A/Shanghai/01/2014(H7N9))]
AHK10805.1,2014-05-27T00:00:00Z,217,H7N9,8,nonstructural protein 1,China,China,1/3/2014,nonstructural protein 1 [Influenza A virus (A/Shanghai/01/2014(H7N9))]
AHK10806.1,2014-05-27T00:00:00Z,121,H7N9,8,nuclear export protein,China,China,1/3/2014,nuclear export protein [Influenza A virus (A/Shanghai/01/2014(H7N9))]
AHK10807.1,2014-05-27T00:00:00Z,716,H7N9,3,polymerase PA,China,China,1/3/2014,polymerase PA [Influenza A virus (A/Shanghai/01/2014(H7N9))]
AHK10808.1,2014-05-27T00:00:00Z,252,H7N9,3,PA-X protein,China,China,1/3/2014,PA-X protein [Influenza A virus (A/Shanghai/01/2014(H7N9))]
AHK10809.1,2014-05-27T00:00:00Z,757,H7N9,2,polymerase PB1,China,China,1/3/2014,polymerase PB1 [Influenza A virus (A/Shanghai/01/2014(H7N9))]
AHK10810.1,2014-05-27T00:00:00Z,90,H7N9,2,PB1-F2 protein,China,China,1/3/2014,PB1-F2 protein [Influenza A virus (A/Shanghai/01/2014(H7N9))]
AHK10811.1,2014-05-27T00:00:00Z,759,H7N9,1,polymerase PB2,China,China,1/3/2014,polymerase PB2 [Influenza A virus (A/Shanghai/01/2014(H7N9))]
AID70632.1,2014-07-02T00:00:00Z,566,H1N1,4,hemagglutinin,China,China,1/3/2014,hemagglutinin [Influenza A virus (A/Shanghai/Mix1/2014(H1N1))]
AID70633.1,2014-07-02T00:00:00Z,469,H1N1,6,neuraminidase,China,China,1/3/2014,neuraminidase [Influenza A virus (A/Shanghai/Mix1/2014(H1N1))]
AID70634.1,2014-07-02T00:00:00Z,560,H7N9,4,hemagglutinin,China,China,1/3/2014,hemagglutinin [Influenza A virus (A/Shanghai/Mix1/2014(H7N9))]
AID70635.1,2014-07-02T00:00:00Z,465,H7N9,6,neuraminidase,China,China,1/3/2014,neuraminidase [Influenza A virus (A/Shanghai/Mix1/2014(H7N9))]
AHF20565.1,2014-07-11T00:00:00Z,759,H7N9,1,polymerase PB2,China,China,4/2/2013,polymerase PB2 [Influenza A virus (A/Shanghai/CN02/2013(H7N9))]
AHF20566.1,2014-07-11T00:00:00Z,757,H7N9,2,polymerase PB1,China,China,4/2/2013,polymerase PB1 [Influenza A virus (A/Shanghai/CN02/2013(H7N9))]
AHF20567.1,2014-07-11T00:00:00Z,716,H7N9,3,polymerase PA,China,China,4/2/2013,polymerase PA [Influenza A virus (A/Shanghai/CN02/2013(H7N9))]
AHF20568.1,2014-07-11T00:00:00Z,560,H7N9,4,hemagglutinin,China,China,4/2/2013,hemagglutinin [Influenza A virus (A/Shanghai/CN02/2013(H7N9))]
AHF20569.1,2014-07-11T00:00:00Z,498,H7N9,5,nucleocapsid protein,China,China,4/2/2013,nucleocapsid protein [Influenza A virus (A/Shanghai/CN02/2013(H7N9))]
AHF20570.1,2014-07-11T00:00:00Z,465,H7N9,6,neuraminidase,China,China,4/2/2013,neuraminidase [Influenza A virus (A/Shanghai/CN02/2013(H7N9))]
AHF20571.1,2014-07-11T00:00:00Z,97,H7N9,7,matrix protein 2,China,China,4/2/2013,matrix protein 2 [Influenza A virus (A/Shanghai/CN02/2013(H7N9))]
AHF20572.1,2014-07-11T00:00:00Z,252,H7N9,7,matrix protein 1,China,China,4/2/2013,matrix protein 1 [Influenza A virus (A/Shanghai/CN02/2013(H7N9))]
AHF20573.1,2014-07-11T00:00:00Z,121,H7N9,8,nuclear export protein,China,China,4/2/2013,nuclear export protein [Influenza A virus (A/Shanghai/CN02/2013(H7N9))]
AHF20574.1,2014-07-11T00:00:00Z,217,H7N9,8,nonstructural protein 1,China,China,4/2/2013,nonstructural protein 1 [Influenza A virus (A/Shanghai/CN02/2013(H7N9))]
AIE52489.1,2014-07-13T00:00:00Z,566,H3N2,4,hemagglutinin,USA: Indiana,USA,2011,hemagglutinin [Influenza A virus (A/Indiana/10/2011(H3N2))]
AIE52490.1,2014-07-13T00:00:00Z,252,H3N2,7,matrix protein 1,USA: Indiana,USA,2011,matrix protein 1 [Influenza A virus (A/Indiana/10/2011(H3N2))]
AIE52491.1,2014-07-13T00:00:00Z,97,H3N2,7,matrix protein 2,USA: Indiana,USA,2011,matrix protein 2 [Influenza A virus (A/Indiana/10/2011(H3N2))]
AIE52492.1,2014-07-13T00:00:00Z,469,H3N2,6,neuraminidase,USA: Indiana,USA,2011,neuraminidase [Influenza A virus (A/Indiana/10/2011(H3N2))]
AIE52493.1,2014-07-13T00:00:00Z,498,H3N2,5,nucleocapsid protein,USA: Indiana,USA,2011,nucleocapsid protein [Influenza A virus (A/Indiana/10/2011(H3N2))]
AIE52494.1,2014-07-13T00:00:00Z,219,H3N2,8,nonstructural protein 1,USA: Indiana,USA,2011,nonstructural protein 1 [Influenza A virus (A/Indiana/10/2011(H3N2))]
AIE52495.1,2014-07-13T00:00:00Z,121,H3N2,8,nuclear export protein,USA: Indiana,USA,2011,nuclear export protein [Influenza A virus (A/Indiana/10/2011(H3N2))]
AIE52496.1,2014-07-13T00:00:00Z,232,H3N2,3,PA-X protein,USA: Indiana,USA,2011,PA-X protein [Influenza A virus (A/Indiana/10/2011(H3N2))]
AIE52497.1,2014-07-13T00:00:00Z,716,H3N2,3,polymerase PA,USA: Indiana,USA,2011,polymerase PA [Influenza A virus (A/Indiana/10/2011(H3N2))]
AIE52498.1,2014-07-13T00:00:00Z,757,H3N2,2,polymerase PB1,USA: Indiana,USA,2011,polymerase PB1 [Influenza A virus (A/Indiana/10/2011(H3N2))]
AIE52499.1,2014-07-13T00:00:00Z,90,H3N2,2,PB1-F2 protein,USA: Indiana,USA,2011,PB1-F2 protein [Influenza A virus (A/Indiana/10/2011(H3N2))]
AIE52500.1,2014-07-13T00:00:00Z,759,H3N2,1,polymerase PB2,USA: Indiana,USA,2011,polymerase PB2 [Influenza A virus (A/Indiana/10/2011(H3N2))]
AIE52513.1,2014-07-13T00:00:00Z,566,H3N2,4,hemagglutinin,USA: Hawaii,USA,2012,hemagglutinin [Influenza A virus (A/Hawaii/22/2012(H3N2))]
AIE52514.1,2014-07-13T00:00:00Z,252,H3N2,7,matrix protein 1,USA: Hawaii,USA,2012,matrix protein 1 [Influenza A virus (A/Hawaii/22/2012(H3N2))]
AIE52515.1,2014-07-13T00:00:00Z,97,H3N2,7,matrix protein 2,USA: Hawaii,USA,2012,matrix protein 2 [Influenza A virus (A/Hawaii/22/2012(H3N2))]
AIE52516.1,2014-07-13T00:00:00Z,469,H3N2,6,neuraminidase,USA: Hawaii,USA,2012,neuraminidase [Influenza A virus (A/Hawaii/22/2012(H3N2))]
AIE52517.1,2014-07-13T00:00:00Z,498,H3N2,5,nucleocapsid protein,USA: Hawaii,USA,2012,nucleocapsid protein [Influenza A virus (A/Hawaii/22/2012(H3N2))]
AIE52518.1,2014-07-13T00:00:00Z,230,H3N2,8,nonstructural protein 1,USA: Hawaii,USA,2012,nonstructural protein 1 [Influenza A virus (A/Hawaii/22/2012(H3N2))]
AIE52519.1,2014-07-13T00:00:00Z,121,H3N2,8,nuclear export protein,USA: Hawaii,USA,2012,nuclear export protein [Influenza A virus (A/Hawaii/22/2012(H3N2))]
AIE52520.1,2014-07-13T00:00:00Z,252,H3N2,3,PA-X protein,USA: Hawaii,USA,2012,PA-X protein [Influenza A virus (A/Hawaii/22/2012(H3N2))]
AIE52521.1,2014-07-13T00:00:00Z,716,H3N2,3,polymerase PA,USA: Hawaii,USA,2012,polymerase PA [Influenza A virus (A/Hawaii/22/2012(H3N2))]
AIE52522.1,2014-07-13T00:00:00Z,757,H3N2,2,polymerase PB1,USA: Hawaii,USA,2012,polymerase PB1 [Influenza A virus (A/Hawaii/22/2012(H3N2))]
AIE52523.1,2014-07-13T00:00:00Z,90,H3N2,2,PB1-F2 protein,USA: Hawaii,USA,2012,PB1-F2 protein [Influenza A virus (A/Hawaii/22/2012(H3N2))]
AIE52524.1,2014-07-13T00:00:00Z,759,H3N2,1,polymerase PB2,USA: Hawaii,USA,2012,polymerase PB2 [Influenza A virus (A/Hawaii/22/2012(H3N2))]
AIE52525.1,2014-07-13T00:00:00Z,566,H3N2,4,hemagglutinin,USA: Texas,USA,2012,hemagglutinin [Influenza A virus (A/Texas/50/2012(H3N2))]
AIE52526.1,2014-07-13T00:00:00Z,252,H3N2,7,matrix protein 1,USA: Texas,USA,2012,matrix protein 1 [Influenza A virus (A/Texas/50/2012(H3N2))]
AIE52527.1,2014-07-13T00:00:00Z,97,H3N2,7,matrix protein 2,USA: Texas,USA,2012,matrix protein 2 [Influenza A virus (A/Texas/50/2012(H3N2))]
AIE52528.1,2014-07-13T00:00:00Z,469,H3N2,6,neuraminidase,USA: Texas,USA,2012,neuraminidase [Influenza A virus (A/Texas/50/2012(H3N2))]
AIE52529.1,2014-07-13T00:00:00Z,498,H3N2,5,nucleocapsid protein,USA: Texas,USA,2012,nucleocapsid protein [Influenza A virus (A/Texas/50/2012(H3N2))]
AIE52530.1,2014-07-13T00:00:00Z,230,H3N2,8,nonstructural protein 1,USA: Texas,USA,2012,nonstructural protein 1 [Influenza A virus (A/Texas/50/2012(H3N2))]
AIE52531.1,2014-07-13T00:00:00Z,121,H3N2,8,nuclear export protein,USA: Texas,USA,2012,nuclear export protein [Influenza A virus (A/Texas/50/2012(H3N2))]
AIE52532.1,2014-07-13T00:00:00Z,252,H3N2,3,PA-X protein,USA: Texas,USA,2012,PA-X protein [Influenza A virus (A/Texas/50/2012(H3N2))]
AIE52533.1,2014-07-13T00:00:00Z,716,H3N2,3,polymerase PA,USA: Texas,USA,2012,polymerase PA [Influenza A virus (A/Texas/50/2012(H3N2))]
AIE52534.1,2014-07-13T00:00:00Z,757,H3N2,2,polymerase PB1,USA: Texas,USA,2012,polymerase PB1 [Influenza A virus (A/Texas/50/2012(H3N2))]
AIE52535.1,2014-07-13T00:00:00Z,90,H3N2,2,PB1-F2 protein,USA: Texas,USA,2012,PB1-F2 protein [Influenza A virus (A/Texas/50/2012(H3N2))]
AIE52536.1,2014-07-13T00:00:00Z,759,H3N2,1,polymerase PB2,USA: Texas,USA,2012,polymerase PB2 [Influenza A virus (A/Texas/50/2012(H3N2))]
AIE52537.1,2014-07-13T00:00:00Z,566,H3N2,4,hemagglutinin,USA: Minnesota,USA,2010,hemagglutinin [Influenza A virus (A/Minnesota/11/2010(H3N2))]
AIE52538.1,2014-07-13T00:00:00Z,252,H3N2,7,matrix protein 1,USA: Minnesota,USA,2010,matrix protein 1 [Influenza A virus (A/Minnesota/11/2010(H3N2))]
AIE52539.1,2014-07-13T00:00:00Z,97,H3N2,7,matrix protein 2,USA: Minnesota,USA,2010,matrix protein 2 [Influenza A virus (A/Minnesota/11/2010(H3N2))]
AIE52540.1,2014-07-13T00:00:00Z,469,H3N2,6,neuraminidase,USA: Minnesota,USA,2010,neuraminidase [Influenza A virus (A/Minnesota/11/2010(H3N2))]
AIE52541.1,2014-07-13T00:00:00Z,498,H3N2,5,nucleocapsid protein,USA: Minnesota,USA,2010,nucleocapsid protein [Influenza A virus (A/Minnesota/11/2010(H3N2))]
AIE52542.1,2014-07-13T00:00:00Z,219,H3N2,8,nonstructural protein 1,USA: Minnesota,USA,2010,nonstructural protein 1 [Influenza A virus (A/Minnesota/11/2010(H3N2))]
AIE52543.1,2014-07-13T00:00:00Z,121,H3N2,8,nuclear export protein,USA: Minnesota,USA,2010,nuclear export protein [Influenza A virus (A/Minnesota/11/2010(H3N2))]
AIE52544.1,2014-07-13T00:00:00Z,232,H3N2,3,PA-X protein,USA: Minnesota,USA,2010,PA-X protein [Influenza A virus (A/Minnesota/11/2010(H3N2))]
AIE52545.1,2014-07-13T00:00:00Z,716,H3N2,3,polymerase PA,USA: Minnesota,USA,2010,polymerase PA [Influenza A virus (A/Minnesota/11/2010(H3N2))]
AIE52546.1,2014-07-13T00:00:00Z,757,H3N2,2,polymerase PB1,USA: Minnesota,USA,2010,polymerase PB1 [Influenza A virus (A/Minnesota/11/2010(H3N2))]
AIE52547.1,2014-07-13T00:00:00Z,90,H3N2,2,PB1-F2 protein,USA: Minnesota,USA,2010,PB1-F2 protein [Influenza A virus (A/Minnesota/11/2010(H3N2))]
AIE52548.1,2014-07-13T00:00:00Z,759,H3N2,1,polymerase PB2,USA: Minnesota,USA,2010,polymerase PB2 [Influenza A virus (A/Minnesota/11/2010(H3N2))]
AIE52620.1,2014-07-13T00:00:00Z,566,H3N2,4,hemagglutinin,Australia: Victoria,Australia,2011,hemagglutinin [Influenza A virus (A/Victoria/361/2011(H3N2))]
AIE52621.1,2014-07-13T00:00:00Z,252,H3N2,7,matrix protein 1,Australia: Victoria,Australia,2011,matrix protein 1 [Influenza A virus (A/Victoria/361/2011(H3N2))]
AIE52622.1,2014-07-13T00:00:00Z,97,H3N2,7,matrix protein 2,Australia: Victoria,Australia,2011,matrix protein 2 [Influenza A virus (A/Victoria/361/2011(H3N2))]
AIE52623.1,2014-07-13T00:00:00Z,469,H3N2,6,neuraminidase,Australia: Victoria,Australia,2011,neuraminidase [Influenza A virus (A/Victoria/361/2011(H3N2))]
AIE52624.1,2014-07-13T00:00:00Z,498,H3N2,5,nucleocapsid protein,Australia: Victoria,Australia,2011,nucleocapsid protein [Influenza A virus (A/Victoria/361/2011(H3N2))]
AIE52625.1,2014-07-13T00:00:00Z,230,H3N2,8,nonstructural protein 1,Australia: Victoria,Australia,2011,nonstructural protein 1 [Influenza A virus (A/Victoria/361/2011(H3N2))]
AIE52626.1,2014-07-13T00:00:00Z,121,H3N2,8,nuclear export protein,Australia: Victoria,Australia,2011,nuclear export protein [Influenza A virus (A/Victoria/361/2011(H3N2))]
